,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,9.0,0.0,0.0,10.0,1.0,0.0,3.0,8.0,34.0,0.0,0.0,0.0,0.0
avisynth2.csv,0.0,0.0,107.0,49.0,85.0,0.0,0.0,69.0,0.0,1.0,240.0,74.0,161.0
beast-mcmc.csv,0.0,0.0,2.0,10.0,2.0,2.0,2.0,1.0,9.0,3.0,0.0,4.0,6.0
dataobjectsdotnet.csv,7.0,1.0,3.0,7.0,0.0,7.0,2.0,0.0,64.0,0.0,0.0,3.0,0.0
exist.csv,2.0,1.0,0.0,49.0,0.0,0.0,3.0,5.0,10.0,0.0,3.0,2.0,0.0
foursquared.csv,2.0,2.0,0.0,49.0,4.0,0.0,1.0,0.0,64.0,1.0,1.0,0.0,0.0
jaxlib.csv,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
jrefactory.csv,2.0,0.0,1.0,11.0,3.0,1.0,0.0,2.0,64.0,0.0,0.0,0.0,5.0
nodal.csv,3.0,4.0,0.0,49.0,0.0,1.0,0.0,3.0,64.0,2.0,0.0,2.0,1.0
opendvr.csv,31.0,0.0,1.0,49.0,1.0,9.0,0.0,2.0,29.0,0.0,0.0,0.0,0.0
pokenetonline.csv,9.0,0.0,0.0,21.0,3.0,0.0,0.0,2.0,12.0,3.0,4.0,1.0,0.0
simplewebservices.csv,4.0,0.0,1.0,49.0,0.0,1.0,0.0,0.0,64.0,0.0,0.0,0.0,6.0
uface.csv,3.0,4.0,1.0,24.0,1.0,2.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0
