,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.55,0.51,0.93,1.0,0.74,0.5,0.68,0.29,0.33,0.56,0.66,0.73,0.74
avisynth2.csv,0.06,0.04,0.0,0.0,0.0,0.01,0.05,0.0,1.0,0.02,0.0,0.0,0.0
beast-mcmc.csv,0.97,0.43,0.4,0.5,0.3,0.71,0.53,0.79,0.67,0.44,0.26,0.41,0.34
dataobjectsdotnet.csv,0.3,0.41,0.15,0.5,0.17,0.36,0.35,0.17,0.0,0.97,0.18,0.23,0.06
exist.csv,0.64,0.41,0.18,0.0,0.35,0.98,0.43,0.5,0.33,0.41,0.52,0.27,0.28
foursquared.csv,0.38,0.06,0.02,0.0,0.04,0.17,0.17,1.0,0.0,0.12,0.02,0.09,0.23
jaxlib.csv,0.11,0.04,0.17,1.0,0.04,0.03,0.23,0.29,0.33,0.08,0.16,0.27,0.23
jrefactory.csv,0.38,1.0,0.33,0.5,0.3,0.46,0.4,0.42,0.0,0.62,0.28,0.32,0.42
nodal.csv,0.3,0.29,0.3,0.0,0.91,0.39,0.2,0.25,0.0,0.33,0.13,0.45,0.08
opendvr.csv,0.26,0.71,0.55,0.0,0.35,0.61,0.57,0.42,0.67,0.63,0.7,0.82,0.31
pokenetonline.csv,0.73,0.31,0.18,0.5,0.61,0.59,1.0,0.67,1.0,0.44,0.43,0.09,0.29
simplewebservices.csv,0.56,0.31,0.57,0.0,0.7,0.54,0.55,0.42,0.0,0.38,0.98,0.32,0.58
uface.csv,0.92,0.61,0.83,1.0,0.7,0.93,0.9,1.0,1.0,0.71,0.76,1.0,1.0
