,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.58,0.66,0.74,0.78,0.72,0.62,0.66,0.58,0.82,0.69,0.71,0.03,1.01,0.5,0.64
emulemorph.csv,0.96,0.95,0.97,0.17,0.87,0.83,1.0,0.97,1.0,0.93,0.95,1.0,1.0,0.98,0.98
fceugc.csv,0.56,0.68,1.0,0.6,0.1,0.8,1.0,1.0,0.91,0.67,0.73,0.76,0.62,0.8,0.93
gnukeda.csv,0.5,0.0,0.57,0.69,0.7,0.6,0.69,0.53,0.79,0.84,0.6,0.84,0.99,0.64,0.75
gusanos.csv,0.81,0.7,0.95,0.89,0.59,0.65,0.86,0.0,0.78,0.78,0.59,0.74,0.56,0.81,0.65
micomt.csv,0.52,0.63,0.63,0.49,0.63,0.82,0.02,0.62,0.83,0.75,0.58,0.53,0.74,0.63,0.76
modplug.csv,0.91,0.79,0.8,0.67,0.46,1.17,0.93,0.71,0.86,0.02,0.76,0.71,0.89,0.57,0.72
ogre.csv,1.0,1.0,1.0,0.91,0.93,0.0,0.98,1.0,1.02,0.96,1.0,0.98,1.17,1.0,0.98
openfrag.csv,0.91,0.83,0.71,0.86,0.67,1.12,0.48,0.8,0.76,0.77,0.06,0.57,0.92,0.74,0.71
oscarmcmaster.csv,0.55,0.9,0.64,0.68,0.91,0.84,0.89,0.73,0.91,0.73,0.67,0.9,1.02,0.81,0.17
pidgin.csv,0.06,0.58,0.71,0.67,0.65,1.15,0.78,0.55,0.61,0.57,0.64,0.72,0.76,0.58,0.64
repositorium.csv,0.76,0.76,0.58,1.02,0.84,0.39,0.87,0.76,0.18,0.93,0.77,0.82,0.96,0.79,0.61
unimrcp.csv,0.74,0.93,0.03,1.0,0.86,0.91,1.0,0.73,1.01,0.96,0.88,0.9,0.37,0.9,0.87
xapian.csv,0.66,0.48,0.64,0.73,0.68,0.59,0.52,0.73,0.72,0.61,0.7,0.6,0.77,0.19,0.68
xqilla.csv,0.96,0.95,1.0,0.53,0.95,0.98,0.85,1.0,0.91,0.86,0.98,0.99,0.0,0.96,1.0
