,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.66,0.51,0.3,0.08,0.38,0.55,0.31,0.72,0.2,0.52,0.49,0.98,0.0,0.46,0.34
emulemorph.csv,0.09,0.1,0.06,0.91,0.2,0.28,0.0,0.08,0.0,0.13,0.1,0.0,0.0,0.05,0.05
fceugc.csv,0.62,0.48,0.0,0.14,0.95,0.34,0.0,0.03,0.15,0.51,0.42,0.37,0.08,0.23,0.1
gnukeda.csv,0.73,1.0,0.51,0.1,0.44,0.57,0.29,0.68,0.15,0.55,0.62,0.55,0.04,0.39,0.31
gusanos.csv,0.32,0.49,0.41,0.06,0.5,0.73,0.22,1.0,0.21,0.63,0.6,0.6,0.07,0.28,0.35
micomt.csv,0.66,0.52,0.42,0.17,0.44,0.3,0.96,0.55,0.17,0.59,0.57,0.61,0.05,0.36,0.33
modplug.csv,0.82,0.72,0.48,0.13,0.6,0.55,0.26,0.78,0.23,0.99,0.74,0.58,0.05,0.45,0.36
ogre.csv,0.83,0.7,0.42,0.11,0.49,1.0,0.27,0.82,0.17,0.78,0.71,0.7,0.02,0.35,0.34
openfrag.csv,0.83,0.61,0.44,0.12,0.54,0.66,0.42,0.78,0.16,0.69,0.96,0.7,0.04,0.36,0.35
oscarmcmaster.csv,0.64,0.19,0.43,0.17,0.17,0.28,0.13,0.43,0.15,0.43,0.48,0.19,0.0,0.28,0.91
pidgin.csv,0.99,0.58,0.37,0.13,0.43,0.59,0.26,0.66,0.26,0.75,0.62,0.43,0.06,0.4,0.33
repositorium.csv,0.39,0.38,0.43,0.0,0.26,0.75,0.15,0.51,0.9,0.55,0.39,0.32,0.05,0.25,0.35
unimrcp.csv,0.41,0.13,0.96,0.0,0.21,0.17,0.0,0.41,0.0,0.07,0.2,0.18,0.17,0.14,0.16
xapian.csv,0.75,0.67,0.41,0.09,0.42,0.81,0.38,0.52,0.18,0.67,0.46,0.57,0.04,0.89,0.31
xqilla.csv,0.07,0.1,0.0,0.22,0.08,0.04,0.19,0.0,0.12,0.25,0.03,0.03,1.0,0.07,0.0
