,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.51,0.61,0.7,0.64,0.52,0.74,0.79,0.43,0.89,0.7,0.48,0.52,0.93,0.62,0.68
emulemorph.csv,0.94,0.67,0.89,0.8,0.89,0.97,0.0,0.86,0.0,0.8,0.92,0.0,0.0,0.94,0.97
fceugc.csv,0.46,0.62,0.0,0.47,0.63,0.84,0.0,0.83,0.5,0.52,0.84,0.95,0.44,0.85,0.97
gnukeda.csv,0.41,0.59,0.47,0.6,0.42,0.65,0.5,0.44,0.67,0.53,0.5,0.48,0.4,0.55,0.44
gusanos.csv,0.97,0.53,0.43,0.63,0.37,0.48,0.48,0.42,0.38,0.45,0.45,0.42,0.52,0.47,0.42
micomt.csv,0.47,0.65,0.69,0.51,0.6,0.95,0.93,0.68,0.92,0.53,0.69,0.62,0.68,0.59,0.48
modplug.csv,0.37,0.44,0.4,0.47,0.63,0.67,0.41,0.42,0.42,0.43,0.46,0.54,0.4,0.41,0.38
ogre.csv,0.38,0.44,0.41,0.42,0.42,0.43,0.43,0.42,0.42,0.41,0.43,0.4,0.41,0.4,0.36
openfrag.csv,0.37,0.51,0.48,0.44,0.37,0.54,0.66,0.41,0.51,0.42,0.52,0.44,0.35,0.4,0.41
oscarmcmaster.csv,0.46,0.75,0.89,0.94,0.67,0.97,0.78,0.65,0.5,0.67,0.88,0.94,0.95,0.9,0.97
pidgin.csv,0.39,0.43,0.47,0.53,0.47,0.54,0.56,0.4,0.71,0.4,0.51,0.67,0.35,0.48,0.53
repositorium.csv,0.86,0.95,0.57,0.95,0.64,0.64,0.92,0.69,0.89,0.53,0.81,0.97,0.41,0.62,0.54
unimrcp.csv,0.74,0.83,0.62,0.5,0.88,0.95,0.67,0.75,0.89,0.67,0.92,0.92,0.81,0.94,0.9
xapian.csv,0.42,0.52,0.5,0.44,0.53,0.5,0.59,0.56,0.48,0.48,0.6,0.55,0.42,0.86,0.5
xqilla.csv,0.86,0.67,0.0,0.71,0.67,0.75,0.88,0.0,0.83,0.9,0.0,0.67,0.67,0.5,0.75
