,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.79,0.61,0.27,0.05,0.32,1.0,0.26,0.77,0.22,0.73,0.56,0.98,0.0,0.38,0.26
emulemorph.csv,0.44,0.67,0.11,1.0,0.33,1.0,0.0,0.43,0.0,0.8,0.33,0.0,0.0,0.06,0.06
fceugc.csv,0.84,0.62,0.0,0.08,1.0,1.0,0.0,0.17,0.5,0.78,0.95,0.8,0.04,0.23,0.13
gnukeda.csv,0.82,1.0,0.36,0.06,0.34,1.0,0.19,0.8,0.1,0.63,0.62,0.5,0.02,0.27,0.2
gusanos.csv,0.8,0.57,0.26,0.03,0.4,0.98,0.14,1.0,0.12,0.67,0.64,0.55,0.04,0.19,0.24
micomt.csv,0.85,0.65,0.42,0.09,0.45,1.0,0.93,0.82,0.15,0.67,0.88,0.76,0.03,0.29,0.21
modplug.csv,0.73,0.59,0.31,0.07,0.63,0.96,0.16,0.74,0.13,1.0,0.61,0.55,0.03,0.31,0.23
ogre.csv,0.72,0.54,0.27,0.06,0.33,1.0,0.16,0.7,0.09,0.68,0.55,0.55,0.01,0.21,0.21
openfrag.csv,0.73,0.53,0.3,0.06,0.39,0.97,0.29,0.72,0.1,0.69,0.96,0.64,0.02,0.24,0.23
oscarmcmaster.csv,0.83,1.0,0.53,0.11,0.67,1.0,0.11,0.77,0.5,1.0,0.88,0.44,0.0,0.5,1.0
pidgin.csv,0.98,0.67,0.27,0.07,0.37,0.96,0.17,0.79,0.18,0.77,0.6,0.59,0.03,0.29,0.25
repositorium.csv,0.82,0.58,0.36,0.0,0.24,1.0,0.15,0.67,1.0,0.6,0.54,0.48,0.03,0.19,0.27
unimrcp.csv,0.93,0.5,0.93,0.0,0.38,1.0,0.0,0.9,0.0,0.67,0.62,0.58,0.1,0.19,0.18
xapian.csv,0.76,0.73,0.3,0.05,0.34,0.99,0.26,0.68,0.12,0.75,0.6,0.64,0.02,1.0,0.22
xqilla.csv,0.86,0.67,0.0,0.14,0.33,1.0,0.25,0.0,0.17,0.8,1.0,0.33,1.0,0.5,0.0
