,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.5,0.41,0.71,0.64,0.93,0.41,0.62,0.67,0.89,0.0,0.41
ivatamasks.csv,0.33,0.42,0.32,0.38,0.42,0.5,0.38,0.44,0.78,0.4,0.4
java-gnome.csv,0.67,0.97,0.89,0.86,0.56,0.89,0.75,0.65,0.46,0.67,0.97
orc.csv,0.93,0.44,0.59,0.62,0.94,0.36,0.59,0.64,0.86,0.0,0.53
plato.csv,0.33,0.39,0.31,0.46,0.43,0.56,0.41,0.59,0.92,0.4,0.39
rodin-b-sharp.csv,0.9,0.7,0.95,0.98,0.93,0.52,0.68,0.59,0.38,0.0,0.78
tycho.csv,0.85,0.53,0.94,0.69,0.75,0.92,0.68,0.86,0.9,0.55,0.51
umber.csv,0.58,0.38,0.29,0.4,0.46,0.42,0.39,0.43,0.36,0.69,0.37
unicase.csv,0.5,0.41,0.32,0.41,0.61,0.44,0.46,0.55,0.4,0.54,0.42
vienna-add-in.csv,0.51,0.61,0.39,0.57,0.57,0.68,0.7,0.53,0.94,0.55,0.78
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.38,0.43,0.38,0.4,0.39
