,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.35,1.0,0.21,0.69,0.93,0.81,0.48,0.4,0.67,0.0,0.75
ivatamasks.csv,0.26,0.99,0.08,0.84,0.68,0.85,0.3,0.2,0.67,0.56,0.72
java-gnome.csv,0.38,0.93,0.09,0.57,0.68,0.78,0.21,0.11,0.96,0.76,0.65
orc.csv,0.07,1.0,0.32,0.79,0.47,0.86,0.31,0.24,0.43,0.0,0.82
plato.csv,0.26,0.99,0.08,0.7,0.66,0.97,0.36,0.23,0.83,0.56,0.73
rodin-b-sharp.csv,1.0,0.96,0.35,0.6,0.71,0.84,0.78,0.14,0.88,0.0,0.87
tycho.csv,0.12,0.99,0.14,0.68,0.75,0.92,0.21,0.31,0.86,0.82,0.7
umber.csv,0.79,0.98,0.11,0.72,0.64,0.84,0.37,0.17,0.81,0.44,0.81
unicase.csv,0.62,1.0,0.11,0.68,0.59,0.85,0.43,0.24,0.78,0.54,0.83
vienna-add-in.csv,0.31,0.98,0.06,0.64,0.78,0.86,0.26,0.16,0.75,0.62,0.62
wpdev.csv,0.26,1.0,0.1,0.68,0.66,0.84,0.36,0.15,0.77,0.56,0.73
