,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.54,0.54,0.5,0.69,0.84,0.79,0.63,0.39,0.91,1.0,0.77
ivatamasks.csv,0.98,0.51,0.96,0.4,0.95,0.7,0.96,0.67,0.89,1.0,0.91
java-gnome.csv,0.63,1.28,0.84,0.96,0.69,0.87,0.91,0.86,0.23,0.57,0.87
orc.csv,0.98,0.59,0.25,0.66,0.93,0.66,0.82,0.68,0.98,1.0,0.65
plato.csv,0.96,0.5,0.97,0.8,0.95,0.25,0.93,0.58,0.83,1.0,0.99
rodin-b-sharp.csv,0.47,1.17,0.57,0.82,0.88,0.71,0.22,0.8,0.46,1.0,0.73
tycho.csv,0.94,0.71,0.72,0.7,0.71,0.75,0.93,0.63,0.71,0.31,0.87
umber.csv,0.22,1.03,0.96,0.79,0.81,1.0,0.95,0.91,0.81,0.86,0.54
unicase.csv,0.24,0.18,0.84,0.81,0.82,0.77,0.65,0.57,0.79,0.74,0.47
vienna-add-in.csv,0.62,1.09,0.95,0.79,0.49,0.66,0.86,0.76,0.83,0.63,0.86
wpdev.csv,1.0,0.01,0.99,1.0,0.98,1.0,1.0,0.95,1.0,0.96,0.99
