,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.63,0.46,0.56,0.54,0.16,0.52,0.43,0.68,0.11,0.0,0.85
ivatamasks.csv,1.0,0.89,0.62,0.73,0.98,0.4,0.67,0.71,0.32,1.0,0.86
java-gnome.csv,0.42,0.2,0.19,0.04,0.52,0.17,0.19,0.25,0.81,0.46,0.16
orc.csv,0.05,0.41,0.88,0.38,0.1,0.57,0.23,0.36,0.05,0.0,0.38
plato.csv,1.0,0.99,0.75,0.87,0.92,0.79,0.92,0.79,0.18,1.0,1.0
rodin-b-sharp.csv,0.53,0.4,0.44,0.27,0.12,0.5,0.83,0.5,0.86,0.0,0.28
tycho.csv,0.16,0.5,0.31,0.52,0.33,0.26,0.28,0.39,0.32,0.77,0.72
umber.csv,0.79,0.74,1.0,0.97,0.61,1.0,0.98,0.93,0.98,0.2,0.67
unicase.csv,0.84,0.82,0.94,0.81,0.31,0.83,0.83,0.82,0.75,0.4,0.78
vienna-add-in.csv,0.74,0.57,0.44,0.59,0.75,0.57,0.37,0.61,0.21,0.74,0.36
wpdev.csv,1.0,0.99,1.0,1.0,0.94,1.0,1.0,0.79,0.96,1.0,1.0
