,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.64,0.23,0.58,0.44,0.75,0.3,0.31,0.28,0.88,0.2
gamestone.csv,0.0,0.15,0.14,0.38,0.31,0.0,0.01,0.3,0.1,0.1
gbif-providertoolkit.csv,0.6,0.63,0.3,0.17,0.27,0.65,0.74,0.31,0.19,0.6
heekscad.csv,0.26,0.27,0.25,0.38,0.57,0.26,0.53,0.4,0.58,0.6
igarden.csv,0.17,0.37,0.24,0.32,0.34,0.48,0.55,0.39,0.46,0.3
levent.csv,0.66,0.15,0.01,0.01,0.64,0.3,0.59,0.0,0.0,0.0
owlapi.csv,0.85,0.21,0.52,0.24,0.79,0.48,0.93,0.24,0.52,0.5
pnotepad.csv,0.17,0.63,0.72,0.97,0.87,0.48,0.47,0.88,1.0,0.0
quark.csv,0.21,0.08,0.1,0.11,0.13,0.0,0.09,0.2,0.25,0.2
xcsoar.csv,0.21,0.12,0.25,0.54,0.42,0.35,0.32,0.36,1.0,0.0
