,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.3,0.16,0.65,0.75,0.52,0.05,0.33,0.82,0.67,0.38,0.45,0.48
gmerlin.csv,0.38,0.18,0.59,0.0,0.51,0.0,0.51,0.77,0.0,0.34,0.0,0.47
google-gears.csv,0.44,0.15,0.64,0.64,0.42,0.04,0.27,0.86,0.6,0.4,0.45,0.47
gstreamer.csv,0.33,0.12,0.57,0.65,0.4,0.04,0.3,0.8,0.79,0.42,0.46,0.47
lportal.csv,0.67,0.75,0.75,1.0,0.7,0.15,0.0,0.0,0.77,0.0,0.48,0.62
metacosm.csv,0.5,0.18,0.59,0.74,0.71,0.06,0.31,0.91,0.86,0.39,0.46,0.76
mplayer-ce.csv,0.34,0.25,0.55,0.68,0.43,0.04,0.32,0.77,0.79,0.43,0.58,0.47
openmeetings.csv,0.68,0.44,0.82,0.75,0.63,0.1,0.41,0.81,0.84,0.46,0.48,0.6
qgis.csv,0.27,0.2,0.7,0.0,0.4,0.04,0.26,0.9,0.71,0.34,0.33,0.65
skia.csv,0.45,0.21,0.58,0.68,0.52,0.07,0.45,0.84,0.64,0.6,0.53,0.47
wxcrp.csv,0.5,0.1,0.67,0.7,0.34,0.04,0.38,0.81,0.63,0.4,0.47,0.43
yafdotnet.csv,0.44,0.24,0.61,0.74,0.66,0.07,0.39,0.83,0.81,0.48,0.48,0.5
