,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.5,0.35,0.45,0.47,0.48,0.4,0.45,0.52,0.36,0.41,0.37,0.4
gmerlin.csv,0.37,0.33,0.46,0.0,0.4,0.0,0.44,0.43,0.0,0.37,0.0,0.4
google-gears.csv,0.42,0.42,0.47,0.38,0.35,0.43,0.45,0.49,0.37,0.4,0.37,0.42
gstreamer.csv,0.44,0.41,0.4,0.42,0.38,0.44,0.4,0.49,0.42,0.42,0.38,0.41
lportal.csv,0.67,0.75,0.75,0.8,0.9,0.73,0.8,0.0,0.62,0.0,0.62,0.88
metacosm.csv,0.75,0.57,0.49,0.97,0.79,0.46,0.59,0.59,0.74,0.61,0.58,0.44
mplayer-ce.csv,0.46,0.56,0.4,0.43,0.54,0.45,0.41,0.47,0.55,0.53,0.56,0.44
openmeetings.csv,0.59,0.58,0.66,0.63,0.59,0.64,0.56,0.71,0.6,0.5,0.37,0.4
qgis.csv,0.48,0.8,0.51,0.0,0.48,0.66,0.78,0.75,0.47,0.49,0.67,0.58
skia.csv,0.41,0.42,0.51,0.36,0.46,0.62,0.48,0.53,0.65,0.44,0.55,0.67
wxcrp.csv,0.45,0.43,0.48,0.39,0.46,0.46,0.4,0.52,0.36,0.57,0.45,0.49
yafdotnet.csv,0.37,0.36,0.41,0.39,0.44,0.42,0.44,0.42,0.47,0.36,0.44,0.37
