,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.88,0.74,0.08,0.73,0.72,0.49,0.67,0.65,0.9,0.81,0.66,0.6,0.74,0.76,0.95,0.82,0.72,0.6,0.65
dspace-gsoc.csv,0.78,0.91,0.61,0.7,0.67,0.75,0.69,0.72,0.76,0.79,1.0,0.83,0.03,0.85,0.72,0.76,1.0,0.81,0.83
grisbi.csv,1.0,0.68,0.59,0.69,0.63,0.95,0.75,0.83,0.49,0.02,0.79,0.76,0.8,0.74,0.43,0.67,0.82,0.85,0.94
maidsafe-dht.csv,0.64,0.86,0.63,0.83,0.0,0.74,0.79,0.66,0.85,0.77,1.0,0.62,0.84,0.89,0.86,0.73,1.0,0.78,0.86
mesa3d.csv,0.76,0.81,0.88,0.84,0.78,0.61,0.84,0.69,0.81,0.82,0.8,0.75,0.74,0.72,0.66,0.16,0.95,0.83,0.72
n2cms.csv,0.79,0.02,0.58,0.82,0.75,0.93,0.76,0.68,0.68,0.55,0.9,1.05,0.81,0.72,0.7,0.6,0.61,0.55,0.77
nassp.csv,0.98,0.8,0.68,0.84,0.59,0.66,0.77,0.08,0.7,0.86,1.0,0.62,0.77,0.97,0.93,0.59,0.81,0.89,0.64
ninject.csv,0.73,0.8,0.56,0.95,0.68,0.94,0.85,0.76,0.84,0.76,0.78,0.69,0.86,0.87,0.8,0.82,0.0,0.94,0.97
nug.csv,0.74,0.72,0.76,0.78,0.85,0.0,0.64,0.68,0.89,1.08,0.92,0.76,0.91,0.62,1.06,0.78,0.71,0.73,0.81
nuttx.csv,0.96,0.59,0.9,0.08,0.64,0.76,0.42,0.72,0.96,0.34,0.8,0.64,0.85,1.0,0.53,0.63,0.53,0.7,0.8
oorexx.csv,0.99,0.76,0.6,0.93,0.51,0.81,0.68,0.43,0.97,0.37,0.82,0.57,0.94,0.75,0.57,0.96,0.64,0.08,0.53
oppna-program-hsatools.csv,1.0,0.99,1.0,0.89,0.98,0.95,0.88,0.85,0.04,0.38,1.0,0.7,1.0,0.8,0.83,0.97,1.0,1.0,1.0
redshell.csv,1.0,0.95,0.94,0.97,0.95,0.89,0.0,0.98,0.83,1.0,1.01,0.99,1.0,0.99,1.0,0.99,0.95,0.8,1.01
super-tux.csv,1.0,0.64,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.76,1.0,0.0,1.0,1.0,1.0,0.83
tart.csv,0.99,0.98,0.84,0.98,1.0,1.0,0.97,0.83,0.88,0.82,1.0,0.2,0.89,0.92,0.93,0.99,1.0,0.9,0.79
tcvp.csv,0.89,0.72,0.81,0.66,0.75,0.89,0.85,0.76,0.81,0.92,0.22,0.82,0.92,0.83,1.11,0.71,0.62,0.78,0.82
vdsf.csv,0.17,0.81,0.81,0.72,0.88,0.95,0.76,0.94,0.97,1.0,0.8,0.89,1.0,1.0,1.03,0.94,1.0,0.9,0.67
web-cat.csv,0.99,0.84,0.79,0.88,0.74,0.75,0.79,0.69,0.85,0.79,0.81,0.63,0.93,0.83,0.95,0.82,0.88,0.73,0.11
zabbix.csv,0.7,0.91,0.81,1.0,0.64,0.82,0.9,0.65,0.84,0.76,0.77,0.78,0.74,0.0,0.63,0.85,0.82,0.77,0.64
