,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.99,0.53,0.82,0.67,0.79,0.65,0.71,0.41,0.48,0.61,0.58,0.57,0.7,0.6,0.69,0.48,0.5,0.53,0.58
dspace-gsoc.csv,0.38,0.73,0.61,0.65,0.7,0.41,0.81,0.71,0.74,0.93,0.5,0.91,0.4,0.93,0.85,0.8,0.75,0.93,0.75
grisbi.csv,0.26,0.37,0.43,0.56,0.37,0.32,0.39,0.32,0.42,0.32,0.42,0.34,0.3,0.37,0.43,0.36,0.42,0.35,0.28
maidsafe-dht.csv,0.76,0.9,0.48,0.71,0.86,0.62,0.59,0.68,0.94,0.8,0.5,0.81,0.88,0.92,0.71,0.8,0.0,0.89,0.88
mesa3d.csv,0.35,0.68,0.69,0.67,0.87,0.92,0.86,0.92,0.72,0.92,0.94,0.67,0.72,0.95,0.86,0.88,0.66,0.71,0.67
n2cms.csv,0.33,0.62,0.48,0.62,0.76,0.75,0.69,0.91,0.7,0.47,0.92,0.71,0.89,0.75,0.66,0.44,0.57,0.58,0.59
nassp.csv,0.27,0.58,0.61,0.61,0.71,0.8,0.59,0.73,0.61,0.89,0.0,0.82,0.6,0.86,0.9,0.53,0.88,0.8,0.35
ninject.csv,0.89,0.49,0.57,0.89,0.68,0.75,0.76,0.89,0.47,0.76,0.89,0.48,0.53,0.81,0.74,0.71,0.8,0.5,0.33
nug.csv,0.38,0.78,0.78,0.71,0.96,0.76,0.85,0.67,0.97,0.93,0.68,0.59,0.92,0.94,0.63,0.77,0.83,0.77,0.89
nuttx.csv,0.27,0.41,0.47,0.6,0.38,0.33,0.52,0.34,0.4,0.29,0.32,0.37,0.29,0.32,0.46,0.4,0.38,0.43,0.47
oorexx.csv,0.67,0.63,0.48,0.93,0.43,0.33,0.46,0.43,0.8,0.3,0.35,0.41,0.92,0.4,0.48,0.92,0.86,0.47,0.48
oppna-program-hsatools.csv,0.26,0.37,0.44,0.55,0.4,0.35,0.46,0.36,0.42,0.29,0.83,0.38,0.29,0.35,0.49,0.47,0.38,0.38,0.32
redshell.csv,0.26,0.38,0.48,0.54,0.39,0.39,0.47,0.35,0.41,0.37,0.37,0.34,0.31,0.36,0.45,0.46,0.4,0.43,0.32
super-tux.csv,0.26,0.41,0.44,0.53,0.38,0.38,0.45,0.36,0.39,0.34,0.36,0.35,0.41,0.36,0.44,0.45,0.38,0.38,0.33
tart.csv,0.97,0.5,0.89,0.67,0.0,0.0,0.8,0.75,0.93,0.92,0.5,0.75,0.75,0.83,0.86,0.67,0.5,0.88,0.8
tcvp.csv,0.99,0.69,0.83,0.89,0.94,0.8,0.98,0.71,0.65,0.91,0.88,0.94,0.8,0.97,0.96,0.83,0.9,0.86,0.75
vdsf.csv,0.99,0.45,0.51,0.86,0.45,0.39,0.51,0.37,0.44,0.35,0.45,0.39,0.31,0.36,0.53,0.48,0.38,0.42,0.45
web-cat.csv,0.67,0.9,0.9,0.96,0.8,0.6,0.83,0.62,0.7,0.61,0.9,0.95,0.83,0.83,0.88,0.99,0.86,0.54,0.53
zabbix.csv,0.43,0.38,0.44,0.54,0.47,0.44,0.47,0.46,0.41,0.44,0.46,0.39,0.31,0.68,0.47,0.49,0.42,0.48,0.47
