,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.12,0.5,0.96,0.68,0.26,0.55,0.61,0.39,0.78,0.55,0.2,0.14,0.46,0.41,0.64,0.38,0.17,0.68,0.47
dspace-gsoc.csv,0.15,0.18,0.39,0.6,0.29,0.36,0.53,0.28,0.39,0.35,0.0,0.07,0.99,0.25,0.44,0.27,0.0,0.32,0.26
grisbi.csv,0.16,0.58,0.45,0.65,0.38,0.34,0.72,0.39,0.9,0.99,0.21,0.13,0.76,0.46,0.76,0.37,0.15,0.7,0.52
maidsafe-dht.csv,0.23,0.24,0.38,0.33,1.0,0.33,0.35,0.32,0.26,0.37,0.0,0.19,0.27,0.18,0.25,0.3,0.0,0.36,0.22
mesa3d.csv,0.17,0.34,0.22,0.73,0.22,0.47,0.39,0.32,0.55,0.3,0.16,0.09,0.44,0.42,0.54,0.86,0.06,0.44,0.38
n2cms.csv,0.19,0.99,0.4,0.51,0.26,0.14,0.4,0.35,0.51,0.62,0.09,0.0,0.31,0.39,0.46,0.37,0.18,0.61,0.33
nassp.csv,0.13,0.3,0.38,0.31,0.43,0.44,0.39,0.96,0.46,0.24,0.0,0.18,0.39,0.06,0.17,0.38,0.15,0.2,0.49
ninject.csv,0.2,0.48,0.47,0.09,0.3,0.1,0.31,0.29,0.83,0.39,0.22,0.11,0.31,0.22,0.37,0.22,1.0,0.11,0.54
nug.csv,0.16,0.39,0.27,0.75,0.16,1.0,0.58,0.3,0.32,0.36,0.09,0.08,0.24,0.48,0.76,0.27,0.14,0.45,0.29
nuttx.csv,0.15,0.6,0.38,0.99,0.36,0.4,0.88,0.39,0.85,0.87,0.23,0.15,0.78,0.4,0.67,0.38,0.26,0.72,0.41
oorexx.csv,0.02,0.35,0.38,0.13,0.41,0.34,0.6,0.5,0.31,0.83,0.21,0.16,0.21,0.47,0.6,0.07,0.21,0.97,0.55
oppna-program-hsatools.csv,0.15,0.57,0.38,0.82,0.32,0.41,0.97,0.35,0.99,0.9,0.0,0.12,0.79,0.54,0.87,0.33,0.15,0.73,0.55
redshell.csv,0.16,0.57,0.34,0.9,0.33,0.52,1.0,0.35,0.88,0.87,0.18,0.1,0.75,0.57,0.96,0.34,0.16,0.74,0.48
super-tux.csv,0.16,0.51,0.38,0.9,0.32,0.49,0.98,0.34,0.9,0.9,0.2,0.1,0.66,0.57,1.0,0.35,0.15,0.74,0.51
tart.csv,0.01,0.04,0.24,0.03,0.0,0.0,0.05,0.25,0.21,0.31,0.0,0.89,0.2,0.14,0.13,0.03,0.0,0.18,0.33
tcvp.csv,0.1,0.4,0.22,0.57,0.25,0.19,0.38,0.24,0.4,0.34,0.82,0.1,0.15,0.27,0.37,0.3,0.27,0.36,0.29
vdsf.csv,0.8,0.55,0.37,0.5,0.31,0.41,0.91,0.33,0.84,0.9,0.19,0.11,0.75,0.55,0.84,0.34,0.15,0.68,0.54
web-cat.csv,0.02,0.26,0.29,0.23,0.28,0.32,0.39,0.32,0.57,0.53,0.14,0.17,0.14,0.26,0.13,0.21,0.08,0.5,0.94
zabbix.csv,0.15,0.56,0.39,0.9,0.4,0.47,0.86,0.39,0.83,0.78,0.18,0.13,0.82,1.0,0.87,0.36,0.18,0.65,0.55
