,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.13,0.69,0.92,0.58,0.36,0.65,0.44,0.83,0.77,0.42,0.44,0.8,0.36,0.46,0.49,0.93,0.8,0.69,0.53
dspace-gsoc.csv,0.65,0.15,0.46,0.47,0.43,0.47,0.36,0.33,0.24,0.21,0.0,0.2,0.97,0.15,0.28,0.28,0.0,0.22,0.21
grisbi.csv,1.0,0.83,0.83,0.54,0.86,0.59,0.58,1.0,0.9,0.98,0.89,1.0,0.86,0.57,0.62,0.75,0.8,0.86,0.89
maidsafe-dht.csv,0.38,0.15,0.42,0.21,1.0,0.29,0.22,0.42,0.15,0.23,0.0,0.4,0.17,0.11,0.14,0.29,0.0,0.22,0.16
mesa3d.csv,0.79,0.35,0.38,0.66,0.29,0.41,0.25,0.33,0.42,0.18,0.22,0.4,0.33,0.28,0.37,0.84,0.2,0.39,0.37
n2cms.csv,0.97,0.98,0.58,0.38,0.29,0.12,0.25,0.33,0.36,0.45,0.11,0.0,0.19,0.32,0.3,0.61,0.6,0.53,0.32
nassp.csv,0.79,0.25,0.33,0.19,0.43,0.35,0.24,0.92,0.3,0.14,0.0,0.4,0.28,0.03,0.09,0.48,0.2,0.11,0.58
ninject.csv,0.28,0.67,0.46,0.05,0.36,0.06,0.19,0.25,0.84,0.24,0.22,0.4,0.22,0.17,0.23,0.2,1.0,0.06,0.95
nug.csv,0.72,0.38,0.42,0.68,0.21,1.0,0.41,0.42,0.21,0.26,0.22,0.4,0.17,0.42,0.65,0.48,0.4,0.36,0.21
nuttx.csv,0.88,0.79,0.92,1.0,0.79,0.59,0.81,0.92,0.89,0.82,1.0,1.0,0.92,0.6,0.51,0.7,1.0,0.83,0.53
oorexx.csv,0.01,0.33,0.54,0.07,0.71,0.47,0.44,0.83,0.21,0.76,0.89,1.0,0.14,0.58,0.43,0.04,0.4,1.0,0.58
oppna-program-hsatools.csv,0.95,1.0,1.0,0.83,1.0,0.76,0.98,0.92,0.99,0.88,0.0,0.8,1.0,0.8,0.79,0.9,1.0,0.97,1.0
redshell.csv,0.99,0.98,0.83,0.99,1.0,1.0,1.0,1.0,0.92,0.94,0.89,1.0,0.92,0.98,0.98,0.96,1.0,0.92,0.84
super-tux.csv,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,0.79
tart.csv,0.01,0.02,0.17,0.02,0.0,0.0,0.03,0.17,0.12,0.18,0.0,0.8,0.11,0.08,0.07,0.01,0.0,0.11,0.21
tcvp.csv,0.12,0.42,0.25,0.43,0.29,0.18,0.24,0.33,0.27,0.23,0.78,0.2,0.08,0.2,0.24,0.33,0.4,0.25,0.26
vdsf.csv,0.84,0.85,0.83,0.36,0.86,0.76,0.87,0.92,0.87,1.0,0.78,1.0,0.92,0.95,0.76,0.91,1.0,0.83,0.74
web-cat.csv,0.01,0.21,0.21,0.13,0.29,0.35,0.25,0.33,0.46,0.39,0.22,0.4,0.08,0.2,0.07,0.2,0.2,0.44,0.89
zabbix.csv,0.47,0.94,0.88,0.98,0.93,0.82,0.78,0.83,0.83,0.74,0.67,1.0,0.97,1.0,0.79,0.9,1.0,0.72,0.74
