,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.36,0.25,0.55,0.31,0.36,0.41,0.49,0.36,0.07,0.3,0.46,0.82,0.47
bacula.csv,0.65,0.64,0.42,0.46,0.63,0.65,0.56,0.62,0.62,0.65,0.67,0.24,0.58
elmo.csv,0.43,0.24,0.62,0.16,0.57,0.44,0.39,0.27,0.18,0.36,0.56,0.39,0.25
jajuk.csv,0.71,0.17,0.43,0.64,0.79,0.73,0.64,0.51,0.68,0.7,0.65,0.63,0.64
ktc.csv,0.77,0.47,0.44,0.68,0.71,0.64,0.61,0.16,0.66,0.63,0.52,0.3,0.6
neoengine.csv,0.51,0.48,0.13,0.71,0.72,0.69,0.6,0.47,0.09,0.41,0.69,0.48,0.72
omseek.csv,0.26,0.18,0.0,0.12,0.4,0.11,0.24,0.0,0.41,0.23,0.24,0.0,0.64
pcgen.csv,0.68,0.17,0.57,0.46,0.61,0.05,0.56,0.38,0.0,0.61,0.67,0.13,0.65
rosegarden.csv,0.77,0.65,0.44,0.62,0.73,0.61,0.59,0.33,0.58,0.71,0.68,0.57,0.7
selenium.csv,0.77,0.68,0.24,0.68,0.65,0.68,0.62,0.43,0.67,0.69,0.4,0.53,0.58
vapor.csv,0.0,0.09,0.0,0.73,0.74,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.41
zorannt.csv,0.43,0.55,0.44,0.26,0.51,0.67,0.44,0.54,0.49,0.2,0.59,0.38,0.51
zscreen.csv,0.76,0.54,0.24,0.65,0.58,0.68,0.67,0.75,0.28,0.69,0.5,0.45,0.68
