,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.6,0.91,0.81,0.83,0.56,0.64,0.54,0.58,0.9,0.65,0.56,0.67,0.59
bacula.csv,0.42,0.46,0.47,0.56,0.41,0.48,0.47,0.48,0.43,0.49,0.46,0.42,0.61
elmo.csv,0.6,0.85,0.52,0.97,0.51,0.79,0.58,0.71,0.95,0.69,0.5,0.54,0.98
jajuk.csv,0.34,0.43,0.35,0.36,0.38,0.38,0.34,0.4,0.29,0.4,0.38,0.34,0.38
ktc.csv,0.4,0.51,0.4,0.4,0.4,0.51,0.41,0.88,0.29,0.51,0.57,0.43,0.49
neoengine.csv,0.63,0.49,0.5,0.46,0.4,0.51,0.42,0.54,0.4,0.8,0.43,0.43,0.44
omseek.csv,0.97,0.94,0.0,0.93,0.72,0.67,0.93,0.0,0.56,0.96,0.92,0.93,0.71
pcgen.csv,0.39,0.42,0.44,0.43,0.48,0.5,0.4,0.72,0.4,0.45,0.43,0.4,0.45
rosegarden.csv,0.41,0.45,0.42,0.47,0.39,0.54,0.41,0.77,0.41,0.53,0.39,0.37,0.5
selenium.csv,0.37,0.42,0.5,0.36,0.43,0.39,0.43,0.5,0.3,0.42,0.58,0.38,0.52
vapor.csv,0.0,0.4,0.5,0.4,0.37,0.5,0.49,0.37,0.4,0.0,0.0,0.0,0.41
zorannt.csv,0.63,0.46,0.42,0.97,0.54,0.5,0.59,0.54,0.56,0.98,0.49,0.52,0.61
zscreen.csv,0.4,0.54,0.78,0.44,0.42,0.48,0.4,0.46,0.81,0.46,0.47,0.43,0.5
