,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.32,0.28,0.13,0.29,0.41,0.16,0.34,0.47,0.11,0.21,0.46,0.69,0.15
bacula.csv,0.58,0.67,0.11,0.46,0.63,0.36,0.39,0.68,0.68,0.51,0.6,0.42,0.31
elmo.csv,0.42,0.3,0.21,0.21,0.59,0.38,0.29,0.33,0.25,0.31,0.55,0.3,0.19
jajuk.csv,0.64,0.67,0.13,0.55,0.79,0.34,0.43,0.57,0.78,0.51,0.62,0.43,0.26
ktc.csv,0.73,0.54,0.16,0.61,0.71,0.4,0.45,0.22,0.72,0.59,0.57,0.23,0.28
neoengine.csv,0.52,0.51,0.13,0.66,0.69,0.38,0.43,0.56,0.79,0.4,0.63,0.32,0.26
omseek.csv,0.33,0.24,0.0,0.17,0.49,0.15,0.25,0.0,0.5,0.32,0.33,0.0,0.39
pcgen.csv,0.62,0.68,0.14,0.56,0.6,0.25,0.43,0.47,0.8,0.48,0.66,0.43,0.23
rosegarden.csv,0.71,0.67,0.14,0.56,0.72,0.31,0.41,0.44,0.64,0.62,0.62,0.39,0.27
selenium.csv,0.69,0.7,0.11,0.59,0.68,0.34,0.48,0.51,0.74,0.54,0.44,0.36,0.32
vapor.csv,0.0,0.67,0.13,0.62,0.71,0.25,0.48,0.77,0.8,0.0,0.0,0.0,0.22
zorannt.csv,0.44,0.56,0.14,0.33,0.57,0.43,0.35,0.62,0.58,0.22,0.61,0.27,0.26
zscreen.csv,0.68,0.58,0.14,0.58,0.63,0.31,0.47,0.8,0.38,0.51,0.6,0.45,0.26
