,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.92,0.87,0.71,0.81,0.97,0.91,0.83,0.98,0.94,0.9,0.86,0.27,0.85
bacula.csv,0.58,0.47,0.75,0.63,0.7,0.48,0.64,0.47,0.57,0.5,0.51,0.94,0.51
elmo.csv,0.69,0.81,0.5,0.87,0.53,0.62,0.76,0.85,0.86,0.74,0.54,0.73,0.8
jajuk.csv,0.62,0.97,0.7,0.66,0.29,0.57,0.63,0.67,0.63,0.54,0.46,0.65,0.55
ktc.csv,0.33,0.6,0.66,0.47,0.39,0.46,0.54,0.87,0.56,0.44,0.54,0.83,0.52
neoengine.csv,0.57,0.64,0.97,0.39,0.44,0.45,0.74,0.61,0.98,0.66,0.45,0.84,0.58
omseek.csv,0.78,0.86,1.0,0.9,0.65,0.91,0.81,1.0,0.66,0.81,0.8,1.01,0.44
pcgen.csv,0.64,0.96,0.67,0.86,0.54,0.99,0.78,0.68,1.0,0.74,0.41,0.97,0.65
rosegarden.csv,0.36,0.46,0.68,0.72,0.37,0.56,0.65,0.72,0.58,0.37,0.64,0.73,0.53
selenium.csv,0.43,0.43,0.82,0.5,0.42,0.5,0.51,0.65,0.56,0.47,0.67,0.7,0.51
vapor.csv,1.0,0.98,1.0,0.5,0.42,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.88
zorannt.csv,0.66,0.63,0.68,0.78,0.56,0.42,0.68,0.53,0.6,0.84,0.48,0.8,0.59
zscreen.csv,0.45,0.78,0.81,0.49,0.76,0.6,0.55,0.32,0.76,0.53,0.83,0.86,0.55
