,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.27,0.12,0.6,0.36,0.23,0.32,0.33,0.82,0.34,0.07,0.18,0.44
gamestone.csv,0.15,0.42,0.24,0.27,0.04,0.02,0.58,0.09,0.58,0.0,0.11,0.27
geochat.csv,0.08,0.56,0.05,0.16,0.17,0.22,0.84,0.12,0.38,0.66,0.21,0.22
igarden.csv,0.29,0.36,0.34,0.35,0.71,0.44,0.18,0.82,0.17,0.09,0.38,0.32
ingex.csv,0.44,0.29,0.58,0.71,0.9,0.22,0.24,0.61,0.42,0.82,0.62,0.26
lphant.csv,0.29,0.43,0.73,0.69,0.31,0.6,0.76,0.24,0.58,0.18,0.46,0.57
nabu-library.csv,0.29,0.42,0.22,0.38,0.25,0.86,0.0,0.36,0.06,0.05,0.56,0.26
nebuladevice.csv,0.44,0.08,0.02,0.64,0.85,0.18,0.56,0.18,0.34,0.25,0.62,0.06
owlapi.csv,0.21,0.19,0.24,0.27,0.43,0.58,0.02,0.76,0.1,0.55,0.43,0.38
pi-qmc.csv,0.33,0.61,0.41,0.51,0.27,0.5,0.8,0.85,0.76,0.16,0.65,0.65
trinitycore.csv,0.42,0.65,0.19,0.6,0.1,0.24,0.51,0.03,0.52,0.27,0.4,0.22
twostep.csv,0.27,0.67,0.82,0.98,0.97,0.66,0.16,0.76,0.58,0.2,0.65,0.73
