,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.37,0.41,0.51,0.23,0.0,1.0,0.84,0.06,0.29,0.72
betoffice.csv,0.53,0.2,0.55,0.05,0.15,0.3,0.0,0.2,0.18,0.19
bnetd.csv,0.74,0.59,0.14,0.51,0.43,0.2,0.31,0.03,0.44,0.38
graphmak.csv,0.16,0.0,0.04,0.07,0.04,0.0,0.11,0.06,0.04,0.04
hazelcast.csv,1.0,0.96,0.27,1.0,1.0,0.0,0.84,1.0,0.96,0.71
megasquirtavr.csv,1.0,0.96,0.0,1.0,1.0,1.0,0.87,1.0,1.0,0.9
pdfedit.csv,0.32,0.43,0.22,0.02,0.33,0.3,0.36,0.29,0.29,0.38
stajistics.csv,0.16,0.35,0.32,0.19,0.48,0.1,0.49,0.11,0.36,0.0
twostep.csv,0.32,0.41,0.37,0.3,0.67,0.5,0.6,0.46,0.0,0.72
xharbour.csv,0.0,0.91,0.62,0.81,0.48,1.0,0.91,0.71,0.8,0.94
