,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.28,0.51,0.37,0.32,1.0,0.69,0.56,0.54,0.66,0.42
betoffice.csv,0.13,0.11,0.18,0.0,0.13,0.19,0.95,0.04,0.3,0.21
bnetd.csv,0.74,0.56,0.38,0.51,0.44,0.63,0.29,0.99,0.61,0.47
graphmak.csv,0.27,1.0,0.16,0.16,0.0,0.45,0.04,0.14,0.13,0.39
hazelcast.csv,0.9,0.53,0.49,0.67,0.49,1.0,0.64,0.69,0.53,0.5
megasquirtavr.csv,0.9,0.52,1.0,0.67,0.49,0.92,0.63,0.69,0.54,0.48
pdfedit.csv,0.58,0.45,0.36,0.99,0.49,0.75,0.31,0.47,0.56,0.53
stajistics.csv,0.36,0.56,0.17,0.27,0.51,0.71,0.44,0.28,0.58,0.97
twostep.csv,0.61,0.31,0.35,0.44,0.46,0.72,0.55,0.61,0.98,0.43
xharbour.csv,0.99,0.54,0.43,0.67,0.48,0.84,0.69,0.53,0.47,0.47
