,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.59,0.35,0.33,0.37,0.57,0.47,0.45,0.06,0.52,0.59,0.81,0.07,0.34,0.62,0.21,0.12,0.48,0.13
beast-mcmc.csv,0.73,0.67,0.47,0.65,0.57,0.58,0.63,0.56,0.65,0.64,0.53,0.49,0.33,0.57,0.67,0.63,0.5,0.48
cuberok.csv,0.56,0.6,0.29,0.44,0.29,0.56,0.44,0.66,0.6,0.36,0.47,0.41,0.52,0.38,0.38,0.31,0.42,0.27
exist.csv,0.63,0.24,0.43,0.72,0.56,0.59,0.41,0.57,0.47,0.48,0.39,0.65,0.77,0.6,0.55,0.4,0.56,0.42
ingex.csv,0.58,0.41,0.5,0.3,0.64,0.37,0.55,0.11,0.58,0.24,0.32,0.41,0.52,0.58,0.52,0.52,0.4,0.64
javaprofiler.csv,0.67,0.62,0.47,0.21,0.64,0.43,0.52,0.43,0.59,0.65,0.42,0.0,0.0,0.53,0.54,0.17,0.48,0.78
jbasic.csv,0.64,0.6,0.41,0.49,0.73,0.57,0.58,0.21,0.62,0.77,0.27,0.47,0.48,0.45,0.17,0.56,0.26,0.52
jgnash.csv,0.56,0.56,0.44,0.65,0.56,0.4,0.51,0.53,0.67,0.29,0.19,0.53,0.49,0.42,0.54,0.57,0.11,0.18
jrefactory.csv,0.43,0.51,0.73,0.43,0.38,0.17,0.34,0.54,0.38,0.48,0.51,0.51,0.12,0.46,0.55,0.62,0.2,0.29
jsecurity.csv,0.35,0.53,0.32,0.69,0.24,0.56,0.4,0.3,0.6,0.23,0.19,0.23,0.61,0.47,0.21,0.38,0.2,0.4
libopenmetaverse.csv,0.0,0.05,0.13,0.0,0.3,0.63,0.0,0.31,0.0,0.0,0.56,0.3,0.52,0.0,0.0,0.3,0.26,0.0
mobicents.csv,0.72,0.64,0.49,0.5,0.59,0.4,0.67,0.59,0.64,0.6,0.68,0.5,0.61,0.66,0.59,0.4,0.39,0.47
mp-rechnungs-und-kundenverwaltung.csv,0.53,0.43,0.53,0.52,0.44,0.2,0.54,0.4,0.28,0.21,0.75,0.29,0.2,0.62,0.09,0.63,0.37,0.68
openefm.csv,0.59,0.68,0.42,0.42,0.53,0.6,0.52,0.55,0.57,0.17,0.67,0.32,0.58,0.45,0.65,0.5,0.33,0.46
power-architect.csv,0.62,0.63,0.52,0.68,0.63,0.24,0.52,0.13,0.54,0.33,0.51,0.13,0.27,0.6,0.17,0.39,0.81,0.43
sidekar.csv,0.0,0.43,0.0,0.0,0.79,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
wheat.csv,0.6,0.57,0.27,0.58,0.49,0.48,0.57,0.53,0.56,0.54,0.69,0.42,0.44,0.53,0.71,0.63,0.61,0.35
yarp0.csv,0.54,0.61,0.41,0.6,0.56,0.54,0.58,0.49,0.36,0.37,0.74,0.75,0.64,0.57,0.55,0.62,0.35,0.49
