,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.36,0.82,0.54,0.63,0.44,0.43,0.51,0.0,0.43,0.51,0.71,0.89,0.72,0.38,0.89,0.86,0.35,0.93
beast-mcmc.csv,0.55,0.41,0.4,0.49,0.52,0.45,0.41,0.42,0.5,0.42,0.41,0.46,0.34,0.36,0.38,0.35,0.37,0.55
cuberok.csv,0.66,0.42,0.58,0.58,0.65,0.47,0.5,0.59,0.53,0.59,0.66,0.43,0.39,0.6,0.52,0.68,0.56,0.82
exist.csv,0.37,0.37,0.42,0.42,0.5,0.39,0.36,0.38,0.39,0.45,0.42,0.33,0.42,0.4,0.33,0.34,0.44,0.38
ingex.csv,0.58,0.47,0.69,0.97,0.66,0.65,0.45,0.91,0.48,0.46,0.81,0.48,0.54,0.46,0.43,0.64,0.52,0.51
javaprofiler.csv,0.47,0.4,0.45,0.47,0.5,0.39,0.4,0.4,0.5,0.42,0.41,0.39,0.34,0.49,0.38,0.37,0.49,0.49
jbasic.csv,0.41,0.46,0.42,0.69,0.49,0.44,0.39,0.89,0.41,0.5,0.43,0.5,0.37,0.37,0.88,0.33,0.38,0.51
jgnash.csv,0.45,0.58,0.43,0.44,0.42,0.61,0.52,0.43,0.63,0.52,0.88,0.47,0.48,0.62,0.35,0.37,0.83,0.92
jrefactory.csv,0.4,0.53,0.53,0.55,0.65,0.88,0.74,0.38,0.68,0.6,0.56,0.44,0.93,0.72,0.39,0.37,0.91,0.44
jsecurity.csv,0.93,0.62,0.53,0.48,0.94,0.46,0.64,0.58,0.44,0.82,0.71,0.88,0.52,0.52,0.78,0.55,0.9,0.68
libopenmetaverse.csv,0.33,0.36,0.38,0.46,0.46,0.5,0.36,0.42,0.41,0.43,0.46,0.4,0.45,0.35,0.35,0.36,0.36,0.4
mobicents.csv,0.41,0.39,0.42,0.59,0.5,0.41,0.45,0.42,0.46,0.42,0.53,0.43,0.36,0.36,0.52,0.37,0.37,0.62
mp-rechnungs-und-kundenverwaltung.csv,0.38,0.56,0.57,0.63,0.77,0.89,0.59,0.5,0.85,0.43,0.48,0.8,0.97,0.52,0.67,0.37,0.62,0.44
openefm.csv,0.45,0.54,0.54,0.48,0.71,0.4,0.4,0.5,0.51,0.93,0.57,0.64,0.44,0.55,0.4,0.54,0.8,0.66
power-architect.csv,0.48,0.51,0.42,0.46,0.49,0.36,0.41,0.38,0.53,0.58,0.55,0.4,0.37,0.4,0.35,0.45,0.44,0.48
sidekar.csv,0.0,0.53,0.0,0.0,0.5,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
wheat.csv,0.56,0.44,0.69,0.63,0.71,0.52,0.48,0.39,0.46,0.6,0.47,0.64,0.36,0.45,0.44,0.32,0.48,0.64
yarp0.csv,0.38,0.42,0.51,0.49,0.51,0.42,0.54,0.43,0.76,0.45,0.49,0.48,0.5,0.35,0.44,0.33,0.37,0.49
