,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.03,0.0,0.06,0.0,0.0,0.01,0.07,0.08,0.04,0.0,1.0
fceugc.csv,0.19,0.36,0.3,1.0,0.48,0.27,0.33,0.15,0.38,0.15,0.59
flexpay.csv,0.17,0.5,0.88,0.43,0.35,0.57,0.58,0.62,0.31,0.35,0.39
jstock.csv,0.12,0.25,0.38,0.0,0.19,0.3,0.29,1.0,0.23,0.04,0.24
keyczar.csv,0.07,0.18,0.24,0.1,0.26,0.16,0.04,0.08,0.04,1.0,0.02
modellus.csv,0.16,0.46,0.4,0.48,0.45,0.98,0.43,0.46,0.38,0.29,0.05
open-data-kit.csv,0.48,0.61,0.52,0.57,0.48,0.72,1.0,0.31,0.27,0.52,0.54
phet.csv,0.93,0.21,0.39,0.48,0.23,0.12,0.21,0.46,0.31,0.58,0.51
qtractor.csv,0.2,1.0,0.39,0.33,0.52,0.55,0.28,0.38,0.23,0.31,0.29
sumatrapdf.csv,0.38,1.0,0.83,0.9,0.97,0.77,0.67,0.54,0.92,0.65,0.76
synergyspace.csv,0.2,0.46,0.25,0.38,0.77,0.59,0.66,0.08,0.96,0.56,0.05
