,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,ffigo.csv,gstreamer.csv,metacosm.csv
aufs.csv,0.56,0.57,0.09,0.89,0.2,1.0,0.5,0.88,1.0,0.63,0.46,0.71,0.81,0.75
bdbbasic.csv,0.44,0.39,0.06,0.62,0.3,0.44,0.62,0.89,1.0,0.74,0.38,0.8,0.77,0.7
echongl.csv,0.28,0.19,0.04,0.49,0.29,0.26,0.5,0.67,0.29,1.0,0.36,0.65,0.53,0.27
etherboot.csv,0.27,0.13,0.0,0.59,1.0,0.24,0.8,0.57,0.36,0.9,0.42,0.73,0.7,0.5
ffigo.csv,0.39,0.38,0.03,0.57,0.39,0.33,0.71,0.89,0.32,0.78,0.38,0.97,0.67,0.7
freebios.csv,0.29,0.38,0.03,0.5,0.28,0.44,1.0,0.69,0.26,0.82,0.27,0.65,0.51,0.63
gebr.csv,0.31,0.14,0.04,0.64,0.3,0.34,0.39,0.99,0.36,0.73,0.31,0.73,0.61,0.51
gnukeda.csv,0.37,0.3,0.02,1.0,0.23,0.4,0.48,0.87,0.35,0.72,0.38,0.72,0.7,0.52
gstreamer.csv,0.32,0.33,0.04,0.75,0.32,0.32,0.52,0.84,0.31,0.72,0.33,0.77,0.99,0.64
jnode.csv,0.0,0.0,0.93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metacosm.csv,0.38,0.48,0.06,0.68,0.35,0.47,0.75,1.0,0.88,0.65,0.49,0.91,0.79,1.0
openmeetings.csv,0.67,1.0,0.12,1.0,0.2,1.0,0.67,0.86,0.0,0.27,0.36,1.0,1.0,0.71
pgui.csv,0.27,0.33,0.05,0.53,0.3,0.35,0.56,0.67,0.62,0.71,1.0,0.61,0.5,0.64
wxcrp.csv,0.96,0.19,0.09,0.59,0.33,0.44,0.7,0.95,0.38,0.68,0.29,0.82,0.71,0.8
