,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.24,0.75,0.72,0.51,0.81,0.18,0.31,0.25,0.5,0.59,0.47,0.79
autowikibrowser.csv,0.21,0.62,0.61,0.43,0.74,0.09,0.32,0.22,0.67,0.68,0.38,0.67
cities3d.csv,0.0,0.48,0.74,0.36,0.61,0.19,0.36,0.0,0.55,0.78,0.27,0.0
firebird.csv,0.25,0.58,0.68,0.49,0.85,0.13,0.34,0.23,0.45,0.55,0.39,0.66
hydrogen.csv,0.17,0.46,0.52,0.36,0.5,0.09,0.43,0.29,0.4,0.45,0.22,0.61
lphant.csv,0.21,0.55,0.58,0.42,0.54,0.14,0.28,0.24,0.71,0.59,0.34,0.72
qgo.csv,0.14,0.84,0.54,0.48,0.6,0.09,0.25,0.21,0.4,0.49,0.28,0.68
quickfast.csv,0.13,0.54,0.53,0.44,0.58,0.09,0.21,0.2,0.44,0.44,0.32,0.83
rhex.csv,0.34,0.53,0.53,0.32,0.5,0.1,0.28,0.14,0.5,0.33,0.3,0.66
rocrail.csv,0.26,0.72,0.62,0.37,0.59,0.11,0.33,0.24,0.42,0.72,0.46,0.6
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
yield.csv,0.13,0.56,0.63,0.39,0.79,0.09,0.16,0.21,0.44,0.54,0.28,0.61
