,logicmail.csv,taverna.csv,javagroups.csv,jrefactory.csv,freenet.csv,nodal.csv,soar.csv,web-cat.csv
freenet.csv,0.8,0.92,0.98,0.82,0.4,0.94,0.16,0.9
javagroups.csv,0.25,0.15,0.29,0.42,0.41,0.76,0.04,0.55
jrefactory.csv,1.0,0.04,0.18,0.45,0.44,0.92,0.8,0.81
logicmail.csv,0.15,0.98,1.0,1.0,0.96,0.84,0.36,0.9
nodal.csv,0.85,0.38,0.25,0.26,0.12,0.13,0.0,0.61
soar.csv,1.0,0.74,0.52,0.92,0.88,1.0,0.2,1.0
taverna.csv,0.85,0.23,0.2,0.29,0.7,0.6,0.2,0.19
web-cat.csv,0.3,0.75,0.82,0.29,0.75,0.37,0.96,0.23
