,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.31,0.16,0.0,0.76,0.37,0.16,0.24,0.62,0.12,0.35,0.35
arsenal-1.csv,0.2,0.3,0.73,0.11,0.28,0.09,0.33,0.24,0.62,0.2,0.11
barracudamvc.csv,0.72,0.59,0.0,0.0,0.0,0.43,0.0,0.21,0.29,0.42,0.0
irplus.csv,0.51,0.49,0.3,0.64,0.67,0.42,0.63,0.66,0.42,0.58,0.54
lite.csv,0.47,0.25,0.56,0.27,0.34,0.36,0.4,0.73,0.52,0.44,0.41
mevenide.csv,0.53,0.43,0.26,0.11,0.28,0.2,0.05,0.09,0.82,0.12,0.24
mumble.csv,0.65,0.4,0.49,0.21,0.82,0.62,0.5,0.55,0.27,0.37,0.66
ontopia.csv,0.11,0.59,0.3,0.5,0.64,0.75,0.23,0.55,0.09,0.66,0.49
openintents.csv,0.42,0.71,0.0,0.52,0.36,0.47,0.51,0.47,0.47,0.25,0.51
ta3d.csv,0.17,0.2,0.47,0.0,0.0,0.24,0.0,0.09,0.12,0.12,0.71
tweetsharp.csv,0.4,0.58,0.52,0.4,0.66,0.57,0.46,0.26,0.24,0.79,0.54
