,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.15,0.16,0.36,0.19,0.11,0.16,0.2,0.16,0.38,0.14,0.14
arsenal-1.csv,0.28,0.2,0.26,0.26,0.14,0.26,0.13,0.27,0.35,0.16,0.35
barracudamvc.csv,0.29,0.27,0.36,0.32,0.39,0.32,0.33,0.34,0.42,0.39,0.41
irplus.csv,0.21,0.23,0.12,0.23,0.17,0.17,0.19,0.21,0.14,0.21,0.16
lite.csv,0.23,0.18,0.19,0.15,0.32,0.2,0.16,0.2,0.2,0.23,0.25
mevenide.csv,0.23,0.21,0.14,0.26,0.21,0.17,0.26,0.36,0.25,0.3,0.12
mumble.csv,0.26,0.27,0.26,0.23,0.19,0.3,0.29,0.23,0.27,0.18,0.24
ontopia.csv,0.28,0.25,0.14,0.26,0.29,0.3,0.2,0.27,0.38,0.37,0.35
openintents.csv,0.22,0.2,0.36,0.26,0.38,0.21,0.29,0.3,0.23,0.39,0.41
ta3d.csv,0.27,0.21,0.31,0.3,0.38,0.16,0.33,0.27,0.37,0.33,0.24
tweetsharp.csv,0.26,0.25,0.36,0.3,0.26,0.31,0.29,0.32,0.26,0.32,0.33
