,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.27,0.13,0.0,0.77,0.32,0.13,0.2,0.6,0.1,0.31,0.31
arsenal-1.csv,0.75,0.26,0.74,0.09,0.24,0.07,0.28,0.2,0.66,0.17,0.09
barracudamvc.csv,0.7,0.83,0.96,0.91,1.0,0.89,1.0,0.93,0.55,0.95,0.91
irplus.csv,0.62,0.87,0.26,0.86,0.68,0.39,0.64,0.87,0.38,0.71,0.54
lite.csv,0.51,0.22,0.56,0.23,0.32,0.36,0.36,0.73,0.48,0.4,0.37
mevenide.csv,0.58,0.43,0.22,0.09,0.24,0.17,0.04,0.07,0.83,0.1,0.2
mumble.csv,0.66,0.96,0.52,0.18,0.84,0.87,0.8,0.6,0.24,0.33,0.8
ontopia.csv,0.09,0.74,0.26,0.59,0.8,0.78,0.2,0.87,0.07,0.88,0.8
openintents.csv,0.4,0.7,1.0,0.91,0.4,0.45,0.68,1.0,0.45,0.67,0.69
ta3d.csv,0.14,0.17,0.59,0.0,0.0,0.21,0.0,0.07,0.1,0.1,0.74
tweetsharp.csv,0.36,0.57,0.93,0.82,0.72,0.53,0.48,0.87,0.21,0.81,0.6
