,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.85,0.79,0.84,0.51,0.53,0.93,0.91,0.86,0.6,0.53,1.0,0.63,0.61,0.55,1.0,0.88,1.0,0.6
avisynth2.csv,0.76,0.79,0.8,1.0,0.97,0.88,0.97,0.9,1.0,0.89,0.03,0.96,0.91,0.54,0.99,1.0,1.0,0.94
coot.csv,0.51,0.95,0.82,0.72,0.75,0.98,0.96,0.64,0.88,0.88,1.04,0.87,0.89,0.94,0.8,0.39,0.76,0.93
dsworkbench.csv,0.59,0.56,0.36,0.6,0.58,0.64,0.7,0.69,0.79,0.63,0.75,0.84,0.57,0.61,0.85,0.74,0.77,0.67
forester-atv.csv,1.01,0.4,0.72,0.76,0.74,0.49,0.84,0.59,0.53,0.88,0.19,0.71,0.62,0.53,0.93,0.81,0.97,0.69
freelords.csv,0.55,0.9,0.94,1.0,0.59,0.51,0.88,0.54,0.61,0.7,0.94,0.52,0.75,0.55,1.0,1.0,0.98,0.62
gabel.csv,0.96,0.64,0.81,0.63,0.84,0.44,0.79,0.76,0.3,0.61,0.72,0.81,0.64,0.94,0.8,0.84,0.79,0.82
geotools.csv,0.57,0.74,0.76,0.66,0.56,0.63,0.83,0.51,0.63,0.84,0.84,0.4,0.51,0.91,0.86,0.76,0.86,0.8
gephex.csv,0.9,0.9,1.02,0.89,0.56,0.59,0.77,0.71,0.8,0.93,1.22,0.98,0.66,0.7,0.43,0.95,1.01,0.63
google-collections.csv,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.62,0.74,0.6,1.0,0.94,0.35,0.73,0.9,0.29,0.85,0.45,0.57,0.75,0.54,1.0,1.0,1.0,0.93
neodatis-odb.csv,1.0,0.76,0.62,0.66,0.65,0.9,0.41,0.62,0.84,0.67,0.97,0.89,0.76,0.89,0.69,0.5,0.95,0.8
pokenetonline.csv,0.56,1.0,0.94,0.79,0.73,0.93,0.89,0.56,0.91,0.34,1.05,0.85,0.92,0.61,0.84,0.77,0.89,0.5
rcp-company-uibindings.csv,0.36,0.74,0.66,0.79,0.59,0.51,0.88,0.63,0.57,0.81,0.43,0.42,0.54,0.68,0.71,0.5,0.65,0.14
scenemonitor.csv,0.39,0.67,0.64,0.8,0.68,0.6,0.76,0.35,0.67,0.91,0.43,0.49,0.66,0.71,0.71,0.59,0.77,0.56
servicestack.csv,0.88,0.45,0.81,1.0,0.91,0.94,0.85,0.9,1.0,0.75,0.78,0.81,0.86,0.35,0.99,0.84,1.0,0.86
synecdoche.csv,0.4,0.64,0.73,0.74,0.69,0.85,0.79,0.74,0.88,0.78,1.01,0.94,0.61,0.8,0.62,0.79,0.39,0.58
twostep.csv,0.85,0.75,0.89,0.69,0.59,0.51,0.81,0.6,0.53,0.62,0.77,0.25,0.68,0.55,0.74,0.5,0.56,0.54
