,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.33,0.45,0.48,0.13,0.96,0.6
kmess.csv,0.28,0.56,0.5,0.14,0.42,1.0
minig.csv,0.26,0.6,1.0,0.14,0.66,0.7
ossbuild.csv,0.11,0.77,0.5,0.85,0.7,0.7
rezilla.csv,1.0,0.46,0.45,0.05,0.45,0.59
webdriver.csv,0.27,1.0,0.43,0.19,0.46,0.72
