,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.66,0.9,0.0,0.97,0.64,0.83,0.6,0.94,0.0,0.67,0.77,0.8,0.7
bacula.csv,0.41,0.45,0.42,0.45,0.42,0.46,0.45,0.48,0.4,0.49,0.66,0.43,0.6
elmo.csv,0.54,0.68,0.5,0.65,0.5,0.47,0.47,0.63,0.41,0.54,0.44,0.61,0.53
jajuk.csv,0.35,0.41,0.37,0.36,0.38,0.37,0.34,0.38,0.29,0.4,0.39,0.35,0.37
ktc.csv,0.41,0.46,0.43,0.46,0.41,0.51,0.41,0.82,0.33,0.57,0.44,0.46,0.5
neoengine.csv,0.47,0.51,0.51,0.5,0.38,0.5,0.41,0.46,0.4,0.59,0.38,0.42,0.47
omseek.csv,0.91,0.74,0.0,0.97,0.62,0.93,0.93,0.0,0.55,0.97,0.88,0.94,0.68
pcgen.csv,0.49,0.44,0.53,0.49,0.55,0.5,0.48,0.86,0.4,0.57,0.42,0.44,0.52
rosegarden.csv,0.42,0.46,0.48,0.46,0.41,0.57,0.4,0.88,0.4,0.52,0.41,0.38,0.56
selenium.csv,0.37,0.43,0.5,0.37,0.41,0.37,0.38,0.48,0.33,0.41,0.42,0.36,0.49
vapor.csv,0.0,0.53,0.44,0.49,0.92,0.45,0.5,0.91,0.37,0.96,0.5,0.89,0.54
zorannt.csv,0.61,0.51,0.36,0.95,0.57,0.52,0.58,0.49,0.78,0.98,0.5,0.63,0.54
zscreen.csv,0.43,0.55,0.89,0.52,0.41,0.55,0.45,0.49,0.87,0.59,0.5,0.4,0.54
