,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,5.0,0.0,71.0,5.0,3.0,22.0,4.0,0.0,147.0,3.0,5.0,8.0,72.0
bacula.csv,9.0,0.0,6.0,5.0,3.0,5.0,4.0,0.0,1.0,5.0,1.0,11.0,13.0
elmo.csv,1.0,0.0,6.0,0.0,7.0,4.0,0.0,0.0,1.0,6.0,9.0,6.0,36.0
jajuk.csv,6.0,0.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0
ktc.csv,3.0,1.0,10.0,1.0,3.0,2.0,5.0,1.0,0.0,3.0,1.0,1.0,4.0
neoengine.csv,0.0,2.0,8.0,0.0,4.0,16.0,4.0,0.0,2.0,1.0,7.0,7.0,47.0
omseek.csv,4.0,1.0,71.0,1.0,0.0,1.0,1.0,72.0,0.0,2.0,3.0,166.0,1.0
pcgen.csv,4.0,2.0,2.0,1.0,0.0,33.0,1.0,0.0,2.0,5.0,0.0,10.0,25.0
rosegarden.csv,7.0,4.0,3.0,5.0,1.0,13.0,10.0,0.0,1.0,0.0,3.0,12.0,26.0
selenium.csv,4.0,0.0,6.0,2.0,1.0,20.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0
vapor.csv,284.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,4.0,9.0
zorannt.csv,8.0,0.0,2.0,0.0,5.0,9.0,8.0,2.0,2.0,3.0,5.0,26.0,33.0
zscreen.csv,7.0,0.0,4.0,4.0,2.0,7.0,3.0,0.0,0.0,6.0,5.0,11.0,31.0
