,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.23,0.33,0.2,0.6,0.25,0.03,0.0,0.01,0.25,0.24,0.32,0.0,0.34,0.14,0.16,0.16
galaxium.csv,0.05,0.17,0.09,0.1,0.26,0.07,0.17,0.08,0.04,0.0,0.22,0.0,0.17,0.38,0.0,0.16
hydrate.csv,0.13,0.0,0.22,0.25,0.19,0.93,0.06,0.2,0.13,0.34,0.36,0.5,0.44,0.1,0.18,0.05
ivef-sdk.csv,0.56,0.25,0.6,0.65,0.68,0.0,0.63,0.0,0.75,0.45,0.05,1.0,0.48,0.43,0.84,0.0
jmri.csv,0.59,0.5,0.0,0.4,0.49,0.73,0.51,0.7,0.61,0.54,0.34,0.33,0.39,0.76,0.25,0.32
jython.csv,0.92,0.5,0.77,0.6,0.66,0.33,0.69,0.0,0.94,0.4,0.61,0.83,0.69,0.62,0.78,0.32
kdenlive.csv,0.0,0.5,0.46,0.85,0.4,1.0,0.66,0.99,0.54,0.39,0.59,0.5,0.49,0.38,0.25,0.74
ninject.csv,0.18,0.17,0.08,0.15,0.11,0.0,0.11,0.7,0.01,0.15,0.17,0.0,0.07,0.1,0.0,0.26
ondex.csv,0.18,0.17,0.14,0.25,0.17,0.03,0.17,0.93,0.04,0.1,0.22,0.5,0.0,0.29,0.09,0.37
opentibia.csv,0.82,0.08,0.65,1.0,0.49,0.97,0.54,0.99,0.92,0.59,0.8,0.67,0.66,0.57,0.45,0.74
runuomondains.csv,0.03,0.08,0.11,0.25,0.17,0.0,0.06,0.1,0.14,0.09,0.0,0.0,0.06,0.14,0.2,0.11
somap.csv,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0,0.0,0.98,1.0,0.96,1.0
taverna.csv,0.23,0.25,0.19,0.05,0.0,0.07,0.2,0.06,0.09,0.15,0.05,0.5,0.2,0.24,0.35,0.11
tigermud.csv,0.77,0.58,0.61,0.75,0.51,0.1,0.54,0.95,0.81,0.79,0.9,0.67,0.69,0.05,0.6,0.74
unbvision.csv,0.05,0.25,0.26,0.1,0.49,0.07,0.26,0.05,0.01,0.15,0.17,0.33,0.15,0.76,0.24,0.11
x-ray-mule.csv,0.26,0.0,0.31,0.0,0.32,0.0,0.23,0.0,0.71,0.17,0.08,0.33,0.2,0.05,0.55,0.05
