,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.3,0.24,0.37,0.3,0.16,0.31,0.18,0.04,0.17,0.16,0.61,0.29,0.34,0.3,0.27,0.3,0.21,0.6
archive-crawler.csv,0.26,0.06,0.3,0.13,0.15,0.15,0.39,0.13,0.61,0.25,0.64,0.29,0.34,0.43,0.08,0.2,0.38,0.5
customwars.csv,0.13,0.37,0.27,0.71,0.09,0.25,0.21,0.09,0.3,0.19,0.27,0.64,0.12,0.87,0.16,0.0,0.5,0.2
gbif-providertoolkit.csv,0.55,0.34,0.63,0.41,0.31,0.22,0.27,0.39,0.15,0.72,0.56,0.33,0.25,0.13,0.32,0.6,0.13,0.65
gss.csv,0.6,0.63,0.97,0.96,0.36,0.84,0.45,0.7,0.89,0.49,0.88,0.62,0.28,1.0,0.46,0.1,0.64,0.2
heekscad.csv,0.26,0.31,0.57,0.63,0.39,0.57,0.34,0.22,0.33,0.54,0.8,0.53,0.25,0.57,0.14,0.6,0.45,0.4
ikvm.csv,0.87,0.56,0.1,0.51,0.8,0.85,0.67,0.65,0.23,0.51,0.6,0.71,0.59,0.57,0.76,0.9,0.36,0.7
jaxen.csv,0.94,0.89,0.43,0.77,0.75,0.84,0.8,0.83,0.11,0.87,0.93,0.87,0.72,0.93,0.73,1.0,0.68,0.85
jcae.csv,0.21,0.04,0.23,0.2,0.15,0.18,0.11,0.04,0.24,0.28,0.38,0.47,0.09,0.27,0.0,0.2,0.08,0.4
levent.csv,0.53,0.0,0.0,0.15,0.0,0.64,0.61,0.3,0.63,0.78,1.0,0.33,0.78,0.97,0.59,0.0,0.01,0.85
nicepress.csv,0.7,0.56,0.37,0.25,0.3,0.39,0.49,1.0,0.23,0.22,0.55,0.53,0.72,0.8,0.76,0.0,0.52,0.35
pnotepad.csv,0.19,0.72,0.9,1.0,0.36,0.91,0.6,0.52,0.76,0.74,0.97,0.6,0.53,0.97,0.43,0.0,0.64,0.4
qcad2.csv,0.02,0.2,0.23,0.48,0.28,0.09,0.33,0.17,0.37,0.09,0.25,0.58,0.34,0.73,0.3,0.1,0.65,0.4
qedo.csv,0.26,0.44,0.5,0.46,0.51,0.45,0.45,0.65,0.16,0.48,0.01,0.15,0.28,0.3,0.38,0.7,0.25,0.1
quarkplusplus.csv,0.04,0.07,0.7,0.28,0.28,0.09,0.34,0.35,0.85,0.07,0.12,0.16,0.38,0.07,0.16,0.1,0.54,0.1
sigil.csv,0.36,0.48,0.6,0.48,0.45,0.36,0.58,0.09,0.74,0.42,0.81,0.58,0.5,0.33,0.22,0.5,0.73,0.9
xcsoar.csv,0.26,0.23,0.2,0.51,0.14,0.3,0.54,0.3,0.38,0.42,0.73,0.76,0.41,0.6,0.38,0.0,0.56,0.5
xuggle.csv,0.45,0.77,0.4,0.96,0.22,0.6,0.31,0.3,0.27,0.38,0.44,0.58,0.59,0.83,0.22,0.2,0.56,0.45
