,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.33,0.01,0.15,0.06,0.41,0.85,0.04,0.03,0.03,0.18,0.39,0.0,0.25
emulemorph.csv,0.43,0.0,0.18,0.03,0.35,0.0,0.0,0.18,0.1,0.0,1.0,0.0,1.0
gisgraphy.csv,0.39,0.01,0.15,0.1,0.34,0.71,0.0,0.0,0.08,0.15,0.35,0.02,0.75
jaxen.csv,0.33,0.01,0.13,0.06,0.27,0.81,0.0,0.36,0.05,0.25,0.65,0.0,0.25
jvcl.csv,0.5,0.4,0.21,0.21,0.28,1.0,0.0,0.08,0.09,0.4,0.94,0.0,0.31
m-m-m.csv,0.39,0.02,0.09,0.07,0.23,0.95,0.02,0.06,0.07,0.24,0.36,0.03,0.32
motu.csv,0.45,0.01,0.11,0.04,0.25,0.9,0.0,0.06,0.06,0.42,0.36,0.0,0.29
nh3d.csv,0.41,0.67,0.0,0.06,0.26,0.84,0.02,0.06,0.0,0.22,0.4,0.01,0.31
sarasvati.csv,0.42,0.01,0.05,0.16,0.16,0.85,0.06,0.05,0.0,0.23,0.27,0.05,0.27
wgs-assembler.csv,0.47,0.01,0.12,0.09,0.34,0.91,0.04,0.22,0.07,0.32,0.91,0.0,0.23
zabbix.csv,0.39,0.0,0.15,0.07,0.26,0.91,0.0,0.04,0.07,0.2,0.72,0.0,0.38
