,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.77,0.83,0.59,0.75,0.45,0.7,0.43,0.9,0.97,0.83,0.75,1.04,0.83
emulemorph.csv,0.79,1.0,0.53,0.93,0.58,1.0,1.0,0.43,0.49,1.01,0.97,1.11,0.95
gisgraphy.csv,0.79,0.8,0.6,0.54,0.57,0.92,1.26,1.0,0.61,0.85,0.87,0.54,0.33
jaxen.csv,0.88,0.94,0.59,0.73,0.8,0.87,1.32,0.11,0.85,0.79,0.62,1.25,0.85
jvcl.csv,0.95,0.5,0.54,0.64,0.69,0.94,1.02,0.66,0.57,0.7,0.75,1.11,0.84
m-m-m.csv,0.68,0.47,0.9,0.79,0.94,0.29,0.97,0.99,0.65,0.91,0.99,0.32,0.94
motu.csv,0.57,0.65,0.9,0.92,0.95,0.56,1.0,1.0,0.69,0.45,0.93,1.32,0.95
nh3d.csv,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.75,0.69,0.95,0.38,0.87,0.81,0.25,0.94,1.03,0.69,0.98,0.19,0.77
wgs-assembler.csv,0.59,0.87,0.79,0.64,0.63,0.81,0.43,0.26,0.59,0.51,0.85,1.03,0.83
zabbix.csv,0.75,1.01,0.53,0.68,0.75,0.62,1.05,0.86,0.62,0.76,0.57,1.08,0.69
