,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.0,0.0,19.0,1.0,3.0,0.0,117.0,8.0,17.0,0.0,2.0
linux-ntfs.csv,1.0,0.0,3.0,0.0,6.0,5.0,77.0,7.0,1.0,0.0,0.0
olap-navigator.csv,0.0,0.0,5.0,0.0,1.0,0.0,117.0,9.0,60.0,3.0,0.0
phonon-vlc-mplayer.csv,0.0,0.0,10.0,2.0,10.0,0.0,40.0,5.0,60.0,1.0,0.0
qgis.csv,0.0,0.0,23.0,105.0,1.0,0.0,70.0,13.0,3.0,3.0,0.0
qse.csv,0.0,0.0,5.0,0.0,2.0,0.0,53.0,5.0,40.0,6.0,54.0
rebecca-aiml.csv,0.0,1.0,5.0,0.0,3.0,4.0,45.0,15.0,0.0,0.0,0.0
roller.csv,0.0,0.0,26.0,2.0,1.0,0.0,49.0,15.0,3.0,10.0,0.0
xapian.csv,0.0,0.0,25.0,2.0,10.0,0.0,84.0,15.0,3.0,1.0,0.0
zoolib.csv,0.0,0.0,4.0,105.0,0.0,0.0,117.0,5.0,3.0,3.0,0.0
