,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,xapian.csv,les-indemodables.csv
alsa.csv,0.29,0.54,0.39,0.54,0.53,0.38,0.74,0.52,0.71,0.34,0.55,0.98,0.52,0.59,0.47,0.66
arcallians.csv,0.47,0.56,0.56,0.71,1.0,0.51,0.71,0.59,0.63,0.51,0.39,0.33,0.52,0.5,0.43,0.52
arianne.csv,0.98,0.41,0.35,0.36,0.54,0.38,0.48,0.29,0.44,0.34,0.59,0.46,0.38,0.5,0.18,0.5
aztec.csv,0.49,0.05,0.12,0.12,0.09,0.93,0.56,0.0,0.48,0.18,0.0,0.01,0.16,0.12,0.05,0.0
bl-toolkit.csv,0.52,0.67,0.97,0.69,0.66,0.46,0.63,0.4,0.63,0.54,0.39,0.21,0.57,0.59,0.39,0.61
clamav.csv,0.41,0.58,0.48,0.48,0.62,0.42,0.73,0.64,0.59,1.0,0.49,0.47,0.48,0.55,0.61,0.65
gnupdate.csv,0.35,0.57,0.12,0.3,0.6,0.27,0.55,0.2,0.53,0.51,0.96,0.42,0.41,0.42,0.37,0.35
les-indemodables.csv,0.2,0.44,0.37,0.57,0.13,0.1,0.52,0.2,0.58,0.18,0.44,0.18,0.26,0.36,0.31,1.0
mbse.csv,0.4,0.52,0.35,0.34,0.53,0.29,0.54,0.93,0.64,0.45,0.46,0.55,0.41,0.54,0.46,0.25
ns-3-dev-def-routing.csv,0.07,0.43,0.39,0.43,0.56,0.2,0.29,0.5,0.12,0.58,0.5,0.23,0.22,0.97,0.36,0.72
openxava.csv,0.5,0.49,0.23,0.12,0.45,0.32,0.9,0.33,0.49,0.4,0.45,0.24,0.35,0.46,0.49,0.28
phonon-vlc-mplayer.csv,0.58,0.6,0.55,0.99,0.66,0.2,0.52,0.05,0.54,0.34,0.24,0.48,0.63,0.59,0.4,0.6
qgis.csv,0.46,0.99,0.51,0.6,0.57,0.2,0.53,0.61,0.6,0.49,0.34,0.48,0.43,0.44,0.57,0.59
vars-redux.csv,0.29,0.34,0.24,0.24,0.22,0.0,0.8,0.45,0.93,0.12,0.39,0.42,0.32,0.25,0.1,0.22
xapian.csv,0.37,0.62,0.37,0.73,0.6,0.14,0.05,0.07,0.61,0.56,0.46,0.57,0.42,0.56,0.93,0.63
yafdotnet.csv,0.4,0.46,0.56,0.4,0.5,0.52,0.68,0.66,0.59,0.54,0.56,0.45,0.95,0.52,0.27,0.45
