,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.7,0.08,0.61,0.34,0.21,0.77,0.54,0.29,0.25,0.89
gamestone.csv,1.0,0.41,0.5,0.29,0.23,0.0,0.0,0.16,0.08,0.67
gbif-providertoolkit.csv,0.58,0.0,0.35,0.35,0.4,0.5,0.33,0.27,0.22,0.75
heekscad.csv,0.82,0.25,0.64,0.38,0.23,0.8,0.37,0.21,0.27,0.87
igarden.csv,0.84,0.18,0.77,0.44,0.2,0.86,0.39,0.17,0.35,0.88
levent.csv,0.64,0.05,0.67,0.5,0.23,0.82,0.35,0.45,1.0,0.9
owlapi.csv,0.56,0.0,0.4,0.26,0.18,0.71,0.34,0.39,0.24,0.83
pnotepad.csv,0.84,0.21,0.49,0.31,0.17,0.75,0.41,0.14,0.2,1.0
quark.csv,0.81,0.67,0.85,0.33,0.36,1.0,1.0,0.3,0.46,1.0
xcsoar.csv,0.82,0.22,0.69,0.38,0.29,0.74,0.41,0.2,0.2,1.0
