,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,cortex-vfx.csv,wikipediardware.csv
cortex-vfx.csv,0.93,0.18,0.22,0.73,0.62,0.8,0.54,0.4,0.9
empserver.csv,0.76,0.23,0.12,0.75,0.72,0.73,0.56,0.23,0.92
enlightenment.csv,0.66,0.23,0.13,0.74,0.52,0.66,0.43,0.22,0.73
ildjit.csv,0.63,0.48,0.13,0.55,0.58,0.54,0.27,0.2,0.75
jfreereport.csv,0.86,0.06,0.26,0.73,0.67,0.85,0.52,0.47,1.0
lufa-lib.csv,0.6,0.25,0.19,0.61,0.58,0.69,0.6,0.39,0.7
pcsx2.csv,0.79,0.12,0.17,0.65,0.58,0.79,0.44,0.22,0.77
psycle.csv,0.79,0.16,0.17,0.63,0.59,0.73,0.45,0.24,0.74
wikipediardware.csv,0.74,0.24,0.13,0.64,0.52,0.68,0.42,0.22,0.96
