,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.24,0.43,0.23,0.13,0.2,0.39,0.36,0.0,0.91,0.3,0.1,0.3,0.19,0.13,0.53,0.07,0.1,0.0
arsenal-1.csv,0.5,0.2,0.25,0.49,0.8,0.43,0.36,1.0,0.73,0.39,0.54,0.68,0.41,0.37,0.47,0.32,0.67,0.0
atomsite.csv,0.71,0.02,0.55,0.49,0.5,0.74,0.95,0.59,0.91,0.87,0.32,0.65,0.07,0.46,0.8,0.29,0.53,1.0
barracudamvc.csv,0.9,1.0,0.64,0.99,1.0,0.74,0.95,0.85,0.64,0.7,0.9,0.72,0.39,0.66,1.0,0.89,0.8,1.0
emisview.csv,0.1,0.0,0.09,0.1,0.2,0.04,0.09,0.0,0.14,1.0,0.07,0.41,0.01,0.09,0.33,0.11,0.13,0.0
findbugs.csv,0.33,0.41,0.21,0.27,0.55,0.39,0.14,0.78,0.41,0.26,0.66,0.5,0.12,0.45,0.33,1.0,0.27,0.0
jitterbit.csv,0.38,0.61,0.18,0.42,0.7,0.35,0.23,0.3,0.59,0.52,0.12,0.96,0.47,0.05,0.47,0.32,0.23,1.0
lite.csv,0.36,0.01,0.23,0.2,0.45,0.43,0.09,0.19,0.27,0.04,0.2,0.12,0.03,0.18,1.0,0.18,0.27,0.0
megasquirtavr.csv,0.95,1.0,1.0,0.95,1.0,0.96,1.0,1.0,0.91,1.0,1.0,0.98,1.0,0.97,1.0,1.0,1.0,1.0
ontopia.csv,0.88,0.38,0.68,0.66,0.1,0.96,0.73,0.78,0.82,0.3,0.76,0.29,0.47,1.0,0.2,0.79,0.27,1.0
openintents.csv,0.48,0.41,0.3,0.27,0.45,0.96,0.36,0.81,0.77,0.78,0.37,0.3,0.66,0.43,0.8,0.32,0.37,0.0
rectracker.csv,0.74,0.75,1.0,0.72,0.8,0.74,0.82,0.93,0.77,0.57,0.78,0.67,0.35,0.67,0.8,0.79,0.8,1.0
stajistics.csv,0.38,0.54,0.21,0.3,0.15,0.57,0.55,0.37,0.68,0.78,0.17,0.27,0.94,0.38,0.6,0.39,0.93,0.0
trackit.csv,0.4,0.26,0.45,0.63,0.2,0.57,0.32,0.63,0.5,0.57,1.0,0.41,0.31,0.43,0.8,0.5,0.57,1.0
wxlua.csv,0.98,0.89,0.96,0.97,0.9,1.0,1.0,0.78,1.0,0.91,1.0,0.89,1.0,0.97,0.93,0.93,0.97,1.0
x4x.csv,1.0,0.83,0.93,0.84,0.3,0.78,0.68,0.89,0.95,0.91,0.68,0.57,0.42,0.86,0.8,0.93,0.8,1.0
xharbour.csv,0.93,1.0,0.89,0.97,0.85,0.78,0.59,1.0,0.82,0.61,0.85,0.9,0.48,0.84,0.93,0.96,0.83,1.0
