,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.56,0.52,0.43,0.45,0.46,0.38,0.37,0.4,0.45,0.63,0.61,0.99,0.38
e-bio-flow.csv,0.48,0.58,0.52,0.5,0.44,0.9,0.75,0.53,0.5,0.88,0.43,0.7,0.89
jas.csv,0.59,0.61,0.89,0.52,0.55,0.72,0.65,0.53,0.47,0.8,0.6,0.46,0.9
jbpm.csv,0.9,0.86,0.5,0.78,0.83,0.88,0.67,0.87,0.0,0.73,0.0,0.8,0.93
jgossipforum.csv,0.47,0.46,0.86,0.81,0.71,0.44,0.71,0.5,0.95,0.75,0.41,0.44,0.67
jmonkeyengine.csv,0.55,0.55,0.66,0.57,0.55,0.48,0.62,0.52,0.59,0.82,0.48,0.48,0.5
joustsim.csv,0.54,0.42,0.67,0.67,0.67,0.43,0.38,0.58,0.69,0.58,0.44,0.48,0.45
log4net.csv,0.42,0.92,0.59,0.73,0.95,0.92,0.8,0.5,0.5,0.38,0.94,0.93,0.93
ngl.csv,0.37,0.46,0.38,0.43,0.45,0.37,0.46,0.34,0.55,0.32,0.39,0.45,0.46
piccolo2d.csv,0.35,0.56,0.55,0.55,0.76,0.9,0.9,0.5,0.0,0.43,0.88,0.54,0.88
pustefix.csv,0.74,0.65,0.49,0.61,0.54,0.74,0.45,0.56,0.59,0.8,0.63,0.6,0.45
reaper3d.csv,0.48,0.56,0.77,0.53,0.75,0.57,0.93,0.52,0.58,0.71,0.49,0.54,0.96
sblim.csv,0.46,0.56,0.46,0.75,0.73,0.43,0.68,0.38,0.58,0.45,0.55,0.46,0.45
