,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.69,0.36,0.69,0.71,1.0,1.0,0.94,0.63,1.0,0.55,0.38,0.14,0.88
e-bio-flow.csv,0.25,0.5,0.62,0.6,1.0,0.22,0.39,0.67,0.0,0.27,0.62,0.22,0.12
jas.csv,0.31,0.64,0.0,0.71,0.33,0.43,0.56,0.5,1.0,0.09,0.38,0.66,0.75
jbpm.csv,0.12,0.09,0.0,0.79,0.0,0.17,0.0,0.27,0.0,0.09,0.0,0.03,0.0
jgossipforum.csv,0.44,0.59,0.15,0.15,0.33,0.7,0.22,0.4,1.0,0.36,0.88,0.54,0.0
jmonkeyengine.csv,0.5,0.82,0.23,0.73,0.33,0.87,0.56,0.47,0.4,0.27,0.62,0.84,0.5
joustsim.csv,0.38,0.86,0.38,0.54,0.33,0.91,0.83,0.33,1.0,0.91,0.75,0.81,0.75
log4net.csv,0.56,0.23,0.54,0.25,1.0,0.13,0.0,0.47,0.0,0.73,0.38,0.18,0.0
ngl.csv,0.75,0.86,0.85,0.92,1.0,1.0,0.5,0.9,0.4,0.73,0.88,0.62,0.75
piccolo2d.csv,0.69,0.5,0.69,0.52,0.67,0.09,0.28,0.53,0.0,0.36,0.12,0.32,0.0
pustefix.csv,0.06,0.59,0.54,0.54,0.33,0.65,0.78,0.4,0.6,0.0,0.25,0.53,0.62
reaper3d.csv,0.62,0.77,0.15,0.37,0.0,0.39,0.17,0.6,0.8,0.36,0.62,0.37,0.62
sblim.csv,0.56,0.77,0.77,0.38,0.0,0.96,0.33,0.63,0.4,0.55,0.25,0.9,0.88
