,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,6.0,96.0,0.0,2.0,28.0
encog-cs.csv,60.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,323.0,0.0,1.0,11.0
extprosys.csv,61.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,6.0,13.0,0.0,8.0,13.0
ibatisdb.csv,104.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,17.0,4.0,4.0,1.0
intact.csv,104.0,0.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,54.0,1.0,1.0,20.0
japano.csv,104.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,6.0,320.0,0.0,2.0,16.0
lockss.csv,42.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,397.0,0.0,1.0,17.0
ofbiz.csv,104.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,19.0,258.0,0.0,6.0,21.0
officefloor.csv,44.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,21.0,6.0,5.0,0.0,15.0
opennms.csv,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,1.0,1.0
rohxel.csv,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,98.0,3.0,0.0,17.0
roolo.csv,104.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,15.0,6.0,323.0,0.0,9.0,32.0
sevenupdate.csv,80.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,16.0,6.0,323.0,0.0,2.0,17.0
