,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.74,0.6,0.59,0.86,0.47,0.55,0.47,0.33,0.53,0.3,0.69,0.64,0.52,0.36
encog-cs.csv,0.71,0.41,0.49,0.25,0.42,0.44,0.32,0.0,0.69,0.31,0.27,0.36,0.56,0.6
extprosys.csv,0.7,0.0,0.56,0.55,0.05,0.53,0.46,0.34,0.24,0.0,0.74,0.49,0.37,0.56
ibatisdb.csv,0.0,0.33,0.25,0.2,0.4,0.34,0.22,0.25,0.43,0.48,0.54,0.06,0.15,0.82
intact.csv,0.0,0.42,0.45,0.58,0.61,0.64,0.21,0.4,0.65,0.27,0.73,0.34,0.63,0.55
japano.csv,0.0,0.0,0.6,0.26,0.57,0.56,0.0,0.73,0.3,0.51,0.26,0.38,0.29,0.53
lockss.csv,0.75,0.4,0.61,0.56,0.6,0.4,0.49,0.0,0.51,0.61,0.57,0.56,0.53,0.17
ofbiz.csv,0.0,0.48,0.17,0.55,0.43,0.53,0.59,0.43,0.6,0.21,0.56,0.49,0.74,0.57
officefloor.csv,0.79,0.26,0.3,0.5,0.29,0.41,0.04,0.44,0.5,0.27,0.65,0.06,0.3,0.77
opennms.csv,0.0,0.33,0.02,0.04,0.63,0.04,0.5,0.05,0.24,0.4,0.19,0.12,0.51,0.07
rohxel.csv,0.88,0.38,0.53,0.29,0.21,0.38,0.76,0.57,0.41,0.27,0.13,0.39,0.15,0.66
roolo.csv,0.0,0.53,0.56,0.55,0.6,0.52,0.35,0.42,0.43,0.42,0.34,0.72,0.56,0.57
sevenupdate.csv,0.05,0.77,0.0,0.0,0.31,0.0,0.0,0.0,0.3,0.35,0.05,0.0,0.35,0.0
