,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.38,0.51,0.56,0.39,0.43,0.55,0.57,0.47,0.43,0.41,0.51,0.45,0.42,0.51
encog-cs.csv,0.42,0.44,0.62,0.45,0.42,0.38,0.4,0.55,0.46,0.67,0.48,0.45,0.43,0.53
extprosys.csv,0.42,0.45,0.61,0.37,0.35,0.4,0.67,0.53,0.37,0.39,0.44,0.49,0.39,0.44
ibatisdb.csv,0.89,0.62,0.78,0.9,0.53,0.68,0.86,0.67,0.64,0.49,0.62,0.78,0.97,0.59
intact.csv,0.53,0.43,0.68,0.45,0.44,0.57,0.89,0.48,0.48,0.41,0.41,0.58,0.39,0.51
japano.csv,0.4,0.46,0.57,0.39,0.42,0.42,0.38,0.53,0.36,0.45,0.48,0.44,0.42,0.51
lockss.csv,0.4,0.53,0.47,0.47,0.39,0.56,0.37,0.48,0.5,0.49,0.54,0.47,0.41,0.42
ofbiz.csv,0.44,0.48,0.48,0.4,0.56,0.39,0.42,0.46,0.53,0.67,0.47,0.58,0.46,0.48
officefloor.csv,0.43,0.64,0.64,0.45,0.78,0.63,0.0,0.38,0.55,0.78,0.51,0.83,0.69,0.38
opennms.csv,0.62,0.55,0.5,0.67,0.64,0.75,0.5,0.8,0.96,0.62,0.99,0.89,0.57,0.88
rohxel.csv,0.55,0.65,0.6,0.68,0.8,0.77,0.42,0.56,0.7,0.93,1.0,0.76,0.97,0.52
roolo.csv,0.44,0.54,0.56,0.48,0.44,0.42,0.69,0.77,0.69,0.55,0.5,0.81,0.49,0.54
sevenupdate.csv,0.31,0.61,0.47,0.35,0.39,0.33,0.36,0.47,0.38,0.69,0.45,0.4,0.4,0.42
