,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.44,0.38,0.36,0.33,0.32,0.33,0.44,0.34,0.53,0.4,0.39,0.41,0.35,0.51,0.35,0.48,0.43,0.41
dspace-gsoc.csv,0.43,0.38,0.42,0.59,0.38,0.38,0.39,0.45,0.44,0.41,0.37,0.47,0.36,0.73,0.33,0.51,0.46,0.37
fbmanager.csv,0.0,0.0,0.45,0.88,0.89,0.89,0.86,0.0,0.0,0.67,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.42
fido.csv,0.5,0.67,0.0,0.83,0.94,0.92,0.0,0.7,0.0,0.5,0.0,0.0,0.83,0.0,0.94,0.0,0.88,0.75
freenet.csv,0.55,0.31,0.54,0.45,0.44,0.47,0.33,0.34,0.43,0.54,0.32,0.43,0.35,0.57,0.39,0.53,0.45,0.33
geogebra.csv,0.56,0.53,0.52,0.38,0.34,0.55,0.47,0.61,0.62,0.56,0.36,0.35,0.48,0.86,0.53,0.55,0.46,0.44
google-caja.csv,0.38,0.28,0.35,0.33,0.32,0.28,0.33,0.33,0.42,0.36,0.28,0.33,0.33,0.43,0.31,0.43,0.38,0.32
itext.csv,0.42,0.27,0.36,0.39,0.33,0.32,0.38,0.33,0.43,0.41,0.28,0.37,0.33,0.54,0.33,0.44,0.4,0.33
k3b.csv,0.44,0.41,0.43,0.44,0.45,0.47,0.41,0.36,0.52,0.48,0.32,0.45,0.53,0.56,0.42,0.47,0.41,0.4
megameknet.csv,0.47,0.34,0.5,0.41,0.35,0.56,0.47,0.35,0.46,0.49,0.32,0.41,0.39,0.43,0.58,0.49,0.43,0.34
myfaces.csv,0.44,0.53,0.67,0.41,0.48,0.46,0.53,0.74,0.56,0.5,0.56,0.8,0.33,0.33,0.53,0.64,0.63,0.44
onotoa.csv,0.61,0.61,0.96,0.51,0.78,0.48,0.46,0.77,0.51,0.64,0.36,0.79,0.43,0.72,0.46,0.79,0.86,0.55
paintown.csv,0.43,0.43,0.42,0.39,0.47,0.46,0.33,0.37,0.45,0.45,0.34,0.55,0.38,0.58,0.36,0.47,0.41,0.47
powerfolder.csv,0.51,0.88,0.41,0.57,0.74,0.48,0.73,0.9,0.65,0.42,0.67,0.86,0.94,0.72,0.61,0.57,0.66,0.89
smartgwt.csv,0.46,0.6,0.38,0.77,0.73,0.62,0.86,0.35,0.66,0.42,0.37,0.88,0.78,0.4,0.32,0.64,0.65,0.58
sqlpower-library.csv,0.43,0.31,0.42,0.41,0.38,0.48,0.31,0.39,0.51,0.41,0.38,0.43,0.39,0.75,0.82,0.55,0.5,0.33
triplea.csv,0.45,0.41,0.43,0.39,0.35,0.43,0.45,0.34,0.44,0.42,0.39,0.53,0.42,0.38,0.35,0.52,0.44,0.36
