,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.67,0.74,0.2,0.19,0.33,0.4,0.28,0.26,0.72,0.13,0.49,0.27,0.65
emulemorph.csv,0.03,0.01,0.2,0.21,0.32,0.0,0.0,0.13,0.3,0.04,0.0,0.19,0.0
gisgraphy.csv,0.06,0.16,0.43,0.72,0.38,0.4,0.93,0.06,0.49,0.43,0.87,0.41,0.21
jaxen.csv,0.84,0.91,0.6,0.6,0.8,0.8,0.9,0.1,0.84,0.8,0.14,0.79,0.71
jvcl.csv,0.1,0.01,0.22,0.1,0.35,0.0,0.23,0.34,0.34,0.22,0.07,0.7,0.27
m-m-m.csv,0.43,0.58,0.79,0.77,0.9,0.2,0.98,0.99,0.55,0.96,0.95,0.38,0.94
motu.csv,0.77,0.73,0.97,0.91,1.0,0.8,0.23,0.99,0.71,0.3,0.97,0.98,0.96
nh3d.csv,0.46,0.01,0.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0,1.0
sarasvati.csv,0.24,0.51,0.65,0.27,0.43,0.2,0.34,0.84,0.24,0.43,0.86,0.22,0.46
wgs-assembler.csv,0.34,0.17,0.19,0.33,0.39,0.0,0.72,0.06,0.3,0.54,0.04,0.2,0.21
zabbix.csv,0.76,0.12,0.8,0.66,0.35,0.2,0.31,0.35,0.35,0.67,0.12,0.45,0.27
