,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.47,0.69,0.85,0.94,0.49,0.35,0.67,0.77,0.58,0.89,0.66,0.64,0.39
emulemorph.csv,0.86,0.8,0.71,0.97,0.74,0.0,0.0,0.91,0.63,0.5,0.0,0.95,0.0
gisgraphy.csv,0.88,0.98,0.47,0.45,0.61,0.88,0.4,0.83,0.7,0.64,0.39,0.55,0.75
jaxen.csv,0.37,0.54,0.37,0.55,0.44,0.74,0.4,0.85,0.47,0.43,0.84,0.32,0.35
jvcl.csv,0.93,0.8,0.71,0.95,0.62,0.8,0.79,0.58,0.55,0.71,0.85,0.38,0.72
m-m-m.csv,0.57,0.45,0.39,0.46,0.41,0.72,0.38,0.41,0.59,0.39,0.35,0.6,0.32
motu.csv,0.31,0.43,0.31,0.44,0.37,0.52,0.93,0.41,0.35,0.52,0.34,0.28,0.33
nh3d.csv,0.52,0.83,0.0,0.41,0.38,0.56,0.37,0.4,0.75,0.37,0.36,0.28,0.31
sarasvati.csv,0.79,0.46,0.48,0.65,0.6,0.6,0.59,0.41,0.88,0.41,0.39,0.83,0.5
wgs-assembler.csv,0.48,0.73,0.93,0.5,0.47,0.0,0.4,0.88,0.59,0.37,0.9,0.81,0.75
zabbix.csv,0.32,0.98,0.36,0.56,0.58,0.81,0.74,0.71,0.54,0.55,0.82,0.59,0.68
