,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.36,0.01,0.15,0.03,0.44,0.8,0.06,0.05,0.03,0.33,0.45,0.0,0.24
emulemorph.csv,0.71,0.0,0.2,0.0,0.37,0.0,0.0,0.0,0.11,0.0,1.0,0.0,1.0
gisgraphy.csv,0.5,0.02,0.13,0.07,0.32,0.75,0.0,0.17,0.04,0.2,0.34,0.0,0.58
jaxen.csv,0.34,0.01,0.13,0.08,0.27,0.81,0.0,0.38,0.05,0.24,0.68,0.0,0.29
jvcl.csv,0.53,0.4,0.24,0.16,0.38,1.0,0.0,0.1,0.08,0.29,0.82,0.01,0.28
m-m-m.csv,0.36,0.01,0.08,0.08,0.22,0.95,0.02,0.06,0.02,0.23,0.35,0.02,0.32
motu.csv,0.36,0.02,0.1,0.06,0.24,0.83,0.0,0.06,0.06,0.39,0.37,0.01,0.3
nh3d.csv,0.41,0.67,0.0,0.06,0.26,0.84,0.02,0.06,0.0,0.22,0.4,0.01,0.31
sarasvati.csv,0.41,0.01,0.04,0.17,0.14,0.87,0.05,0.05,0.0,0.26,0.32,0.04,0.31
wgs-assembler.csv,0.45,0.03,0.07,0.12,0.29,1.0,0.02,0.38,0.09,0.29,0.6,0.0,0.38
zabbix.csv,0.37,0.0,0.11,0.07,0.27,0.9,0.0,0.06,0.08,0.18,0.69,0.0,0.41
