,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.75,0.78,0.71,0.93,0.42,0.79,0.28,0.84,0.98,0.78,0.63,1.04,0.85
emulemorph.csv,0.87,1.0,0.6,1.02,0.56,1.0,1.0,1.01,0.45,1.0,0.98,1.02,0.95
gisgraphy.csv,0.9,0.77,0.61,0.75,0.63,0.86,1.37,0.8,0.83,0.75,0.92,1.08,0.42
jaxen.csv,0.87,0.91,0.63,0.66,0.81,0.86,1.35,0.1,0.85,0.81,0.56,1.27,0.8
jvcl.csv,0.8,0.5,0.43,0.73,0.51,0.9,1.03,0.53,0.6,0.73,0.51,0.7,0.82
m-m-m.csv,0.71,0.63,0.87,0.78,0.93,0.28,0.98,0.99,1.0,0.96,0.98,0.38,0.94
motu.csv,0.8,0.73,0.97,0.92,1.0,0.83,1.03,0.99,0.73,0.43,0.98,0.98,0.96
nh3d.csv,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.73,0.71,0.99,0.33,0.9,0.77,0.34,0.86,1.03,0.63,0.94,0.22,0.71
wgs-assembler.csv,0.6,0.53,0.9,0.49,0.67,0.98,0.72,0.4,0.58,0.59,0.91,1.02,0.76
zabbix.csv,0.78,1.01,0.81,0.71,0.72,0.66,1.05,0.7,0.61,0.82,0.6,1.1,0.65
