,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.53,0.49,0.4,0.4,0.6,0.42,0.36,0.32,0.42,0.47,0.38,0.45,0.43,0.39,0.35,0.35,0.45,0.37
decidr.csv,0.48,0.5,0.4,0.38,0.44,0.43,0.41,0.32,0.44,0.4,0.46,0.45,0.43,0.31,0.36,0.36,0.41,0.37
doomlegacy.csv,0.4,0.88,0.44,0.74,0.48,0.45,0.37,0.66,0.66,0.42,0.52,0.47,0.44,0.3,0.35,0.53,0.41,0.4
elmo.csv,0.59,0.54,0.96,0.76,0.62,0.72,0.54,0.53,0.66,0.57,0.95,0.83,0.72,0.46,0.51,0.57,0.44,0.71
gpac.csv,0.69,0.52,0.51,0.45,0.99,0.76,0.37,0.47,0.44,0.43,0.66,0.74,0.5,0.63,0.94,0.5,0.46,0.95
illumination.csv,0.0,0.54,0.94,0.5,0.0,0.47,0.91,0.0,0.0,0.53,0.48,0.67,0.44,0.31,0.0,0.65,0.42,0.36
img-browse-sort.csv,0.42,0.4,0.56,0.47,0.62,0.53,0.38,0.55,0.64,0.44,0.51,0.59,0.47,0.56,0.69,0.46,0.83,0.41
ktc.csv,0.41,0.4,0.42,0.86,0.54,0.62,0.49,0.41,0.42,0.53,0.9,0.5,0.42,0.29,0.37,0.52,0.55,0.38
neoengine.csv,0.61,0.51,0.48,0.51,0.7,0.51,0.4,0.33,0.36,0.44,0.95,0.45,0.43,0.38,0.38,0.38,0.51,0.44
nicepress.csv,0.47,0.57,0.45,0.57,0.46,0.5,0.38,0.32,0.44,0.6,0.47,0.64,0.47,0.43,0.53,0.55,0.48,0.39
omseek.csv,0.97,0.0,0.95,0.0,0.96,0.83,0.94,0.8,0.95,0.46,0.93,0.69,0.49,0.46,0.83,0.88,0.83,0.74
pi-qmc.csv,0.57,0.5,0.4,0.4,0.61,0.47,0.46,0.31,0.44,0.43,0.5,0.42,0.45,0.31,0.34,0.33,0.5,0.46
rosegarden.csv,0.38,0.44,0.47,0.69,0.53,0.51,0.4,0.39,0.5,0.89,0.63,0.46,0.44,0.32,0.31,0.8,0.49,0.42
sigil.csv,0.43,0.48,0.55,0.57,0.6,0.56,0.46,0.94,0.95,0.39,0.49,0.57,0.45,0.5,0.71,0.53,0.77,0.41
smarttag.csv,0.35,0.32,0.41,0.37,0.41,0.46,0.47,0.34,0.39,0.56,0.39,0.45,0.42,0.41,0.35,0.37,0.61,0.37
sylpheed-claws.csv,0.37,0.5,0.4,0.36,0.41,0.42,0.34,0.37,0.46,0.38,0.45,0.43,0.44,0.3,0.34,0.33,0.42,0.36
xemeiah.csv,0.43,0.78,0.43,0.73,0.54,0.47,0.36,0.32,0.39,0.4,0.53,0.66,0.45,0.31,0.49,0.83,0.47,0.44
zscreen.csv,0.41,0.73,0.57,0.46,0.61,0.5,0.47,0.94,0.95,0.6,0.51,0.53,0.45,0.33,0.45,0.39,0.79,0.36
