,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.17,0.49,0.68,0.48,0.49,0.61,1.0,0.41,0.68,0.58,0.51,0.52,0.62
bscwweasel.csv,0.01,0.0,0.19,0.88,0.23,0.1,0.05,0.05,0.05,0.09,0.04,0.1,0.13
capcode.csv,0.0,0.09,0.13,0.24,0.06,0.86,0.27,0.09,0.16,0.1,0.12,0.23,0.02
emite.csv,0.04,0.17,0.21,0.12,0.37,0.0,0.3,0.09,0.2,0.12,0.98,0.29,0.1
geogebra.csv,0.1,0.76,0.39,0.47,0.45,0.54,0.19,0.36,0.55,0.48,0.42,0.95,0.41
hibernate.csv,0.12,0.25,0.53,0.53,0.5,0.29,0.07,0.24,0.25,0.97,0.16,0.44,0.41
lamp.csv,0.01,0.88,0.17,0.12,0.38,0.29,0.09,0.02,0.26,0.11,0.0,0.28,0.02
nodal.csv,0.01,0.24,0.39,0.35,0.43,0.37,0.07,0.24,0.96,0.25,0.12,0.54,0.23
retromenu.csv,0.01,0.17,0.29,0.12,0.88,0.1,0.04,0.05,0.16,0.15,0.0,0.3,0.05
smbopensoft.csv,0.97,0.6,0.64,0.55,0.57,0.48,0.63,0.54,0.51,0.57,0.48,0.61,0.48
stuproa-cims.csv,0.09,0.73,0.49,0.49,0.31,0.47,0.42,0.96,0.29,0.6,0.36,0.4,0.73
thout.csv,0.16,0.46,0.91,0.32,0.51,0.51,0.43,0.35,0.55,0.48,0.48,0.48,0.16
uface.csv,0.05,0.42,0.45,0.76,0.33,0.52,0.13,0.51,0.36,0.61,0.69,0.46,0.99
