,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.58,0.09,0.41,0.11,0.33,0.16,1.0,0.21,0.33,0.3,0.45,0.22,0.73
bscwweasel.csv,1.0,0.0,0.88,1.0,0.67,0.11,0.57,0.67,1.0,0.44,0.33,0.47,1.0
capcode.csv,0.0,0.04,0.12,0.2,0.25,1.0,0.71,0.17,0.21,0.39,0.33,0.16,0.2
emite.csv,0.21,0.09,0.21,0.11,0.35,0.0,0.88,0.17,0.5,0.29,1.0,0.47,0.6
geogebra.csv,0.73,0.2,0.42,0.11,0.26,0.14,0.68,0.22,0.41,0.26,0.41,0.98,0.58
hibernate.csv,0.83,0.16,0.33,0.12,0.37,0.14,1.0,0.44,0.18,1.0,0.44,0.35,0.89
lamp.csv,1.0,0.92,0.75,0.5,0.58,0.3,1.0,1.0,0.62,0.52,0.0,0.66,0.67
nodal.csv,1.0,0.07,0.42,0.24,0.57,0.17,1.0,0.38,0.96,0.39,0.38,0.51,0.74
retromenu.csv,1.0,0.29,0.55,0.33,1.0,0.06,0.75,0.67,0.6,0.51,0.0,0.55,0.8
smbopensoft.csv,0.95,0.11,0.34,0.15,0.34,0.12,0.77,0.27,0.27,0.35,0.43,0.27,0.77
stuproa-cims.csv,0.49,0.14,0.2,0.12,0.28,0.14,0.75,1.0,0.26,0.32,0.39,0.22,0.76
thout.csv,0.31,0.11,0.98,0.07,0.31,0.13,0.78,0.27,0.38,0.25,0.39,0.28,0.34
uface.csv,0.49,0.08,0.24,0.19,0.33,0.13,0.73,0.27,0.25,0.32,0.53,0.2,1.0
