,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,hibernate.csv,emite.csv,geogebra.csv,uface.csv
boost-sandbox.csv,0.86,0.73,0.44,0.77,0.69,0.69,0.0,0.81,0.65,0.71,0.82,0.72,0.6
bscwweasel.csv,0.99,1.0,0.84,0.15,0.81,0.92,0.97,0.96,0.96,0.93,0.97,0.92,0.89
capcode.csv,1.0,0.95,0.92,0.81,0.95,0.17,0.81,0.94,0.89,0.92,0.92,0.85,0.99
emite.csv,0.98,0.87,0.84,0.91,0.73,1.0,0.75,0.94,0.83,0.91,0.03,0.75,0.92
geogebra.csv,0.92,0.4,0.67,0.86,0.83,0.77,0.87,0.93,0.55,0.84,0.75,0.06,0.92
hibernate.csv,0.9,0.8,0.59,0.77,0.65,0.8,0.94,0.81,0.86,0.04,0.88,0.64,0.65
lamp.csv,0.99,0.14,0.86,0.9,0.68,0.76,0.93,0.98,0.78,0.91,1.0,0.76,0.98
nodal.csv,0.99,0.85,0.67,0.71,0.63,0.72,0.94,0.81,0.05,0.8,0.91,0.53,0.83
retromenu.csv,0.99,0.86,0.75,0.9,0.14,0.94,0.97,0.96,0.87,0.88,1.0,0.74,0.96
smbopensoft.csv,0.06,0.73,0.52,0.63,0.67,0.77,0.65,0.7,0.7,0.6,0.72,0.62,0.62
stuproa-cims.csv,0.98,0.57,0.83,0.73,0.94,0.85,0.88,0.05,0.93,0.66,0.92,0.88,0.57
thout.csv,0.91,0.68,0.11,0.91,0.71,0.77,0.69,0.76,0.57,0.8,0.79,0.64,1.01
uface.csv,0.99,0.88,0.86,0.54,0.91,0.8,0.98,0.82,0.91,0.69,0.57,0.86,0.01
