,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.58,0.52,0.76,0.45,0.15,0.22,0.38,0.56,0.57,0.8,0.77
azureus.csv,0.83,0.39,0.59,0.41,0.16,0.32,0.62,0.74,0.39,0.94,0.69
forester-atv.csv,0.84,0.65,0.32,0.25,0.15,0.26,0.4,0.66,0.46,0.58,0.27
gabel.csv,0.0,0.58,0.6,0.4,0.31,0.44,0.36,0.75,0.21,0.36,0.3
google-collections.csv,0.9,0.55,0.64,0.51,0.15,0.32,0.42,0.84,0.42,0.98,0.81
javaprofiler.csv,0.72,0.54,0.55,0.5,0.18,0.28,0.38,0.82,0.42,0.97,0.85
mycila.csv,0.9,0.38,0.59,0.34,0.18,0.54,0.44,0.65,0.18,0.63,0.68
neodatis-odb.csv,0.69,0.48,0.5,0.59,0.08,0.31,0.47,0.2,0.16,0.89,0.71
pokenetonline.csv,0.72,0.56,0.63,0.51,0.15,0.3,0.43,0.83,0.51,0.92,0.63
rcp-company-uibindings.csv,0.84,0.55,0.52,0.39,0.23,0.33,0.45,0.42,0.37,0.93,0.33
servicestack.csv,0.02,0.68,0.51,0.29,0.0,0.11,0.17,0.18,0.63,0.15,0.05
