,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.59,0.37,0.5,0.42,0.45,0.39,0.46,0.6,0.73,0.37,0.46
azureus.csv,0.4,0.4,0.33,0.45,0.38,0.54,0.53,0.37,0.43,0.41,0.45
forester-atv.csv,0.45,0.48,0.8,0.91,0.94,0.67,0.41,0.41,0.77,0.59,0.93
gabel.csv,0.0,0.48,0.61,0.4,0.58,0.5,0.93,0.37,0.5,0.74,0.94
google-collections.csv,0.35,0.35,0.32,0.4,0.46,0.37,0.4,0.35,0.41,0.39,0.4
javaprofiler.csv,0.51,0.39,0.45,0.44,0.46,0.4,0.47,0.36,0.81,0.41,0.53
mycila.csv,0.42,0.94,0.36,0.65,0.5,0.81,0.59,0.47,0.63,0.71,0.46
neodatis-odb.csv,0.49,0.4,0.54,0.75,0.55,0.75,0.59,0.9,0.88,0.45,0.56
pokenetonline.csv,0.38,0.31,0.33,0.38,0.45,0.42,0.37,0.39,0.46,0.42,0.45
rcp-company-uibindings.csv,0.36,0.32,0.44,0.39,0.46,0.5,0.5,0.7,0.48,0.43,0.74
servicestack.csv,0.0,0.33,0.64,0.62,0.83,0.78,0.92,0.86,0.54,0.95,0.5
