,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.43,0.43,0.43,0.4,0.81,0.72,0.48,0.51,0.67,0.75,0.69,0.69,0.65,0.49,0.04,0.64,0.54,0.49,0.85,0.79
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.0,1.0
cornerstone.csv,0.5,0.54,0.43,0.77,0.73,0.59,0.42,0.46,0.62,0.57,0.03,0.72,0.61,0.64,0.55,0.59,0.52,0.53,0.6,0.67
emeraldemu.csv,0.65,0.58,0.37,0.56,0.59,0.73,0.72,0.03,0.77,0.75,0.83,0.49,0.64,0.75,0.58,0.78,0.54,0.62,1.06,0.95
jahshakafx.csv,0.0,0.7,0.68,0.93,0.82,0.83,0.77,0.61,0.83,0.81,0.79,0.95,0.78,0.72,0.62,0.85,0.26,0.67,0.91,0.84
jaolt.csv,0.47,0.76,0.92,0.51,0.61,0.64,0.57,0.72,0.55,0.46,0.79,0.88,0.0,0.78,0.63,0.63,0.58,0.55,0.46,0.43
kmess.csv,0.64,0.72,0.59,0.64,0.74,0.66,0.67,0.53,0.59,0.54,0.76,0.91,0.78,0.53,0.59,0.01,0.52,0.64,0.64,0.77
maya-work-in-progress.csv,0.49,0.59,0.54,0.57,0.54,0.61,0.78,0.6,0.58,0.02,0.78,0.73,0.73,0.87,0.67,0.82,0.75,0.62,0.75,0.66
mia.csv,0.9,0.75,0.59,0.88,0.96,0.87,1.0,0.68,0.91,0.84,0.64,0.0,0.73,0.69,0.94,0.94,1.0,0.94,0.91,0.85
mp-rechnungs-und-kundenverwaltung.csv,0.94,0.7,0.59,0.77,0.7,0.72,0.72,0.62,0.81,0.88,0.73,0.57,0.83,0.11,0.76,0.79,0.28,0.71,0.87,0.72
novembre.csv,0.67,0.65,0.6,0.84,0.82,0.87,0.0,0.77,0.85,0.88,0.88,1.0,0.76,0.83,0.58,0.76,0.29,0.67,0.85,0.95
ns-3.csv,0.55,0.51,0.59,0.75,0.76,0.02,0.7,0.54,0.61,0.64,0.75,0.7,0.62,0.67,0.69,0.59,0.48,0.62,0.72,0.51
nullc.csv,0.95,0.99,0.99,0.96,0.0,0.92,0.97,0.91,0.93,0.94,0.62,0.99,0.6,0.72,0.99,0.91,0.95,0.92,0.64,0.77
open-beos.csv,0.5,0.48,0.47,0.56,0.64,0.7,0.78,0.48,0.04,0.61,0.72,0.55,0.77,0.65,0.51,0.59,0.38,0.53,0.84,0.83
pixel-commandos.csv,0.91,0.86,0.94,0.92,0.98,0.97,1.0,0.92,1.0,1.0,0.92,1.0,1.0,1.0,0.9,0.91,0.0,0.92,0.97,1.0
plee-the-bear.csv,1.07,0.83,0.12,0.92,0.89,0.81,0.91,0.9,0.82,0.92,0.77,0.9,0.81,0.83,0.83,0.86,1.09,0.86,1.03,0.9
reaper-ecad.csv,0.59,0.88,0.82,0.04,0.78,0.76,0.76,0.62,0.8,0.8,0.81,0.69,0.74,0.87,0.75,0.7,1.01,0.72,1.15,0.84
unladen-swallow.csv,0.77,0.34,0.95,0.96,0.81,0.66,0.75,0.82,0.91,0.85,0.82,0.81,0.84,0.71,0.8,0.81,1.01,0.83,1.04,0.9
xmoto.csv,0.6,0.51,0.49,0.77,0.81,0.61,0.7,0.47,0.56,0.67,0.67,0.59,0.64,0.53,0.56,0.68,0.45,0.03,0.7,0.8
zxing.csv,0.45,0.65,0.71,0.84,0.72,0.63,0.74,0.53,0.94,0.5,0.77,0.88,0.79,0.78,0.63,0.69,0.62,0.74,0.49,0.06
