,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.66,0.74,0.64,0.67,0.2,0.3,0.73,0.53,0.35,0.25,0.41,0.39,0.45,0.6,0.97,0.42,0.5,0.53,0.15,0.23
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cornerstone.csv,0.58,0.51,0.67,0.25,0.28,0.47,0.8,0.65,0.45,0.44,0.98,0.44,0.59,0.66,0.59,0.44,0.75,0.5,0.4,0.38
emeraldemu.csv,0.6,0.54,0.67,0.5,0.44,0.28,0.33,0.97,0.26,0.25,0.67,0.67,0.68,0.83,0.45,0.48,0.5,0.44,0.64,0.91
jahshakafx.csv,1.0,0.31,0.33,0.08,0.18,0.17,0.27,0.41,0.17,0.19,0.22,0.06,0.26,0.3,0.39,0.16,0.75,0.33,0.09,0.18
jaolt.csv,0.85,0.87,0.82,0.71,0.42,0.53,0.87,0.8,0.58,0.59,0.51,0.83,1.0,0.77,0.8,0.57,0.75,0.58,0.54,0.75
kmess.csv,0.64,0.73,0.82,0.5,0.5,0.45,0.53,0.71,0.51,0.62,0.27,0.89,0.3,0.55,0.64,0.99,1.0,0.53,0.36,0.25
maya-work-in-progress.csv,0.89,0.88,0.79,0.71,0.7,0.61,0.8,0.79,0.71,1.0,0.84,0.78,0.92,0.94,0.83,0.81,1.0,0.67,0.93,0.89
mia.csv,0.1,0.3,0.42,0.12,0.04,0.16,0.0,0.33,0.09,0.16,0.45,1.0,0.27,0.38,0.07,0.06,0.0,0.06,0.49,0.16
mp-rechnungs-und-kundenverwaltung.csv,0.17,0.43,0.45,0.25,0.4,0.47,0.53,0.39,0.21,0.12,0.43,0.44,0.19,0.89,0.39,0.52,0.75,0.64,0.16,0.68
novembre.csv,0.34,0.38,0.42,0.17,0.18,0.14,1.0,0.24,0.15,0.12,0.12,0.0,0.25,0.17,0.43,0.25,0.75,0.33,0.15,0.05
ns-3.csv,0.55,0.69,0.85,0.54,0.24,0.99,0.73,0.6,0.5,0.44,0.29,0.61,0.66,0.51,0.8,0.71,0.75,0.56,0.28,0.59
nullc.csv,0.96,0.98,1.0,1.0,1.0,0.95,1.0,0.96,0.95,0.91,0.55,0.94,0.7,0.83,0.98,0.91,1.0,0.89,0.36,0.23
open-beos.csv,0.55,0.62,0.58,0.46,0.42,0.39,0.33,0.6,0.96,0.41,0.71,0.5,0.55,0.68,0.64,0.44,0.75,0.5,0.61,0.91
pixel-commandos.csv,0.09,0.15,0.06,0.08,0.02,0.03,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.1,0.09,1.0,0.08,0.03,0.0
plee-the-bear.csv,0.11,0.27,0.88,0.08,0.48,0.54,0.13,0.14,0.35,0.38,0.37,0.11,0.58,0.66,0.23,0.46,0.0,0.42,0.76,0.52
reaper-ecad.csv,0.67,0.12,0.18,0.96,0.24,0.28,0.27,0.41,0.23,0.25,0.73,0.39,0.47,0.17,0.25,0.3,0.0,0.31,0.43,0.66
unladen-swallow.csv,0.24,0.66,0.06,0.04,0.28,0.47,0.33,0.19,0.11,0.16,0.49,0.22,0.23,0.43,0.3,0.35,0.0,0.42,0.7,0.64
xmoto.csv,0.85,0.72,0.67,0.42,0.4,0.5,0.47,0.76,0.55,0.34,0.88,0.61,0.58,0.6,0.74,0.46,0.75,0.97,0.34,0.36
zxing.csv,0.87,0.46,0.42,0.54,0.28,0.44,0.4,0.66,0.07,0.59,0.69,0.61,0.37,0.6,0.58,0.35,0.5,0.28,0.58,1.0
